x	y
3.559	191.819
3.934	196.861
4.211	205.703
4.544	212.427
4.874	215.386
5.210	217.098
5.539	217.907
5.824	218.347
6.156	218.748
6.488	218.327
6.820	217.907
7.150	216.294
7.484	214.181
7.788	212.761
8.158	210.678
8.441	209.418
8.767	208.157
9.097	206.526
9.427	205.265
9.757	204.005
10.087	203.195
10.421	202.793
10.706	202.793
11.032	201.515
11.364	200.254
12.026	197.733
12.686	196.472
13.345	194.791
13.911	194.371
14.618	193.511
15.277	193.073
16.550	193.104
17.492	193.122
17.869	192.702
18.201	191.861
18.531	191.830
18.862	191.430
19.166	191.367
19.501	191.338
19.831	190.918
20.491	190.918
20.821	190.918
21.150	191.307
21.431	191.307
21.763	191.307
22.093	191.307
22.755	191.307
23.416	191.277
24.690	190.857
25.295	190.821
25.672	190.401
26.002	190.419
26.659	189.998
26.941	189.998
27.271	189.998
27.604	189.578
27.981	189.578
28.594	189.578
29.252	189.188
29.487	189.188
29.955	189.188
30.238	189.206
