x	y
0.338	124.541
0.650	166.336
0.961	160.504
1.211	158.074
1.522	160.990
1.833	165.850
2.145	171.195
2.456	176.541
2.706	180.429
3.017	186.261
3.328	190.635
3.640	194.523
3.951	197.925
4.574	203.757
5.509	206.673
6.381	208.617
7.315	207.159
8.249	206.187
9.122	205.215
9.994	204.243
10.928	203.271
11.800	202.299
12.672	201.813
13.607	200.841
14.541	199.869
15.413	199.869
16.347	198.411
17.282	196.953
18.154	196.467
19.026	194.523
19.960	194.037
20.832	193.551
21.767	192.093
22.639	191.607
23.573	190.149
24.508	189.177
25.442	188.205
26.314	186.261
27.248	185.289
28.120	185.289
29.055	183.831
