x	y
0.388	19.415
0.559	24.229
0.678	27.438
0.833	30.969
0.935	33.536
1.084	37.066
1.225	39.955
1.383	41.880
1.482	43.806
1.650	46.052
1.772	48.299
1.909	49.583
2.029	51.187
2.189	53.434
2.319	55.680
2.447	57.285
2.576	58.569
2.747	60.173
2.866	61.136
3.004	62.099
3.124	63.383
3.270	64.346
3.413	64.667
3.540	65.629
3.671	65.950
3.830	67.234
3.960	68.197
4.128	69.481
4.250	70.764
4.373	71.406
4.508	72.369
4.636	73.332
4.765	74.295
4.931	74.936
5.055	75.578
5.185	76.220
5.344	77.183
5.446	77.183
5.634	77.825
5.725	78.000
5.892	78.467
6.015	78.900
6.181	80.071
6.272	80.000
6.407	80.713
6.562	81.300
6.664	81.676
6.819	83.200
6.986	84.564
7.077	85.600
7.211	86.811
7.366	88.100
7.501	88.416
7.656	89.400
7.790	90.341
7.913	90.700
8.048	91.304
8.139	91.500
8.305	92.588
8.461	92.800
8.595	93.229
8.750	93.300
8.853	93.871
9.040	94.500
9.142	95.155
9.297	96.500
9.432	96.760
9.555	97.000
9.689	97.723
9.845	98.700
9.979	99.969
10.102	100.000
10.204	100.932
10.392	101.500
10.494	102.216
10.649	102.900
10.816	103.820
10.907	104.000
11.041	105.425
11.229	106.000
11.331	106.709
11.486	107.000
11.621	107.992
11.744	108.600
11.878	109.597
12.001	110.000
12.136	111.202
12.291	112.000
12.425	113.000
12.548	114.000
12.715	114.000
12.806	114.300
12.972	115.200
13.127	116.000
13.230	117.000
13.385	117.500
