x	y
0.223	25.652
0.490	38.240
0.624	53.974
0.758	59.482
0.891	72.069
1.025	78.363
1.159	91.738
1.292	99.605
1.426	115.340
1.560	122.420
1.693	131.075
1.961	156.250
2.094	163.331
2.228	176.705
2.495	190.867
2.763	215.255
2.896	223.123
3.164	230.203
3.297	237.284
3.431	245.151
3.698	264.033
3.832	268.753
3.966	275.047
5.971	297.076
8.110	340.346
10.115	341.133
12.254	340.346
14.259	323.825
16.264	303.370
18.403	283.701
20.408	267.180
22.546	251.445
24.552	238.857
26.690	226.270
28.562	217.616
30.701	207.388
32.706	200.307
34.844	192.440
36.849	186.933
38.988	180.639
40.860	176.705
42.998	171.198
45.004	167.264
47.142	162.544
49.147	158.610
51.286	155.463
53.158	153.103
55.296	149.956
57.435	146.809
59.440	143.662
61.579	142.089
63.584	140.000
