x	y
0.263	11.751
0.847	37.505
1.848	74.297
2.432	109.249
2.933	134.389
3.767	166.275
4.101	215.944
4.519	204.906
4.852	200.500
5.270	190.190
5.603	185.897
6.021	177.926
6.354	169.341
6.772	163.209
7.189	158.304
7.523	153.398
7.940	148.493
8.274	144.814
8.691	141.134
9.025	138.682
9.442	135.616
9.776	132.550
10.193	130.097
10.527	127.644
10.944	125.805
11.278	123.965
11.695	120.899
12.029	118.446
12.446	117.220
12.780	115.380
13.197	114.154
13.615	112.314
13.948	110.475
14.366	109.249
14.783	108.022
15.117	106.183
15.451	104.956
15.868	104.343
16.285	102.503
16.619	101.277
16.953	100.664
17.370	98.824
17.704	97.598
18.121	96.371
18.455	95.758
18.872	94.532
19.289	93.919
19.623	92.692
20.040	92.079
20.374	91.466
20.791	90.240
21.125	89.626
21.542	88.400
21.960	87.787
22.294	87.174
22.711	86.560
23.045	85.334
23.462	84.721
23.796	84.108
24.213	83.494
24.547	82.881
24.964	82.268
25.298	81.655
25.715	81.042
26.049	80.429
26.466	79.815
26.800	79.202
27.217	79.202
27.634	78.589
27.968	77.976
28.385	76.749
28.719	76.749
29.136	76.136
29.470	75.523
29.888	75.523
30.221	74.910
30.639	74.297
30.972	74.297
31.390	73.683
31.807	73.070
32.141	72.457
32.475	72.457
32.892	71.844
33.309	71.231
33.643	70.617
34.060	70.617
34.394	70.004
34.811	69.391
35.145	69.391
35.562	69.391
35.896	68.778
36.313	68.778
36.731	67.551
37.064	66.938
37.482	66.938
37.815	66.325
38.233	66.325
38.566	65.712
38.984	65.712
39.317	65.712
39.735	65.712
40.069	65.712
40.486	65.099
40.820	64.486
41.237	63.872
41.571	63.872
41.988	63.872
42.405	63.872
42.739	62.646
43.156	62.646
43.490	62.646
43.824	62.033
44.241	61.420
44.658	61.420
44.992	61.420
45.409	60.806
45.743	60.806
46.160	60.806
46.578	60.806
46.911	60.193
47.329	59.580
47.663	58.967
48.080	58.967
48.414	58.967
48.831	58.354
49.165	58.354
49.582	58.354
49.916	57.740
50.333	57.740
50.667	57.740
51.084	57.740
51.418	57.127
51.835	57.127
52.252	56.514
52.586	56.514
52.920	56.514
53.337	56.514
53.754	56.514
54.088	55.901
54.506	55.288
54.923	55.288
55.257	55.288
55.674	55.288
56.008	55.288
56.341	54.674
56.759	54.674
57.176	54.674
