x	y
1.477	1.323
1.924	209.300
3.715	183.504
4.040	178.088
4.386	168.293
4.722	161.739
5.009	155.892
5.356	150.254
5.729	144.005
6.083	139.606
6.395	134.948
6.848	130.301
7.122	126.768
7.503	123.739
7.855	120.628
8.195	117.798
8.576	114.912
8.862	112.567
9.234	109.697
9.546	108.209
9.869	106.118
10.204	104.397
10.620	102.625
10.876	101.281
11.208	99.251
11.589	97.969
11.883	96.374
12.213	95.188
12.589	93.246
12.883	92.355
13.252	91.519
13.632	90.140
13.898	89.189
14.290	87.499
14.671	86.021
15.017	85.353
15.329	84.411
15.676	83.282
16.024	81.935
16.403	81.306
16.749	80.599
17.031	79.516
17.442	79.069
17.684	78.438
18.038	77.904
18.411	76.874
18.792	76.114
19.157	75.486
19.416	74.583
19.762	74.062
20.164	73.067
20.455	72.759
20.836	72.510
21.171	72.261
21.459	71.433
21.805	70.738
22.178	70.649
22.567	70.205
22.879	68.913
23.297	68.231
23.537	67.934
23.883	67.413
24.192	66.618
24.610	66.642
24.887	66.121
25.311	65.812
25.580	65.421
25.996	64.801
26.318	64.200
26.619	63.585
27.000	63.336
27.326	63.394
27.658	62.640
28.039	62.130
28.333	61.782
28.766	61.186
29.043	60.925
29.340	60.976
29.666	59.969
30.047	59.534
30.459	59.726
30.775	59.024
31.086	58.514
31.466	58.479
31.779	57.743
32.194	57.668
32.361	57.730
32.783	57.081
33.164	56.832
33.368	56.732
33.857	56.159
34.307	55.660
34.487	55.734
34.861	55.574
35.207	55.127
35.494	54.986
35.900	54.618
36.277	54.368
36.523	54.487
36.904	54.119
37.285	53.608
37.562	53.489
37.943	53.435
38.292	52.675
38.636	52.990
38.913	52.502
39.299	52.230
39.640	52.242
39.952	51.969
40.418	51.708
40.679	51.013
41.060	50.763
41.425	50.745
41.648	50.341
42.064	50.341
42.432	50.246
42.687	49.993
43.068	49.906
43.439	49.747
43.761	49.471
44.073	49.222
44.446	49.498
44.731	49.146
45.112	48.810
45.453	48.999
45.804	48.636
46.081	48.115
46.460	48.001
46.774	47.604
47.155	47.604
47.579	47.751
47.882	47.355
48.228	47.280
48.586	47.252
48.852	46.819
49.267	46.558
49.593	46.753
49.891	46.558
50.237	46.362
50.600	46.254
50.999	45.906
51.345	45.731
51.719	45.654
