x	y
0.338	20.539
0.650	25.885
0.961	28.315
1.211	38.521
1.522	66.222
1.833	99.269
2.145	129.886
2.456	149.812
2.706	167.794
3.017	181.401
3.328	192.093
3.640	200.841
3.951	207.159
4.235	211.466
4.574	213.963
4.843	214.410
5.158	213.592
5.509	213.477
5.744	214.410
6.059	215.718
6.381	215.421
6.667	214.083
7.002	212.774
7.315	211.533
7.568	207.868
7.903	204.925
8.249	200.841
8.448	199.201
8.742	200.673
9.122	200.841
9.413	200.836
9.706	202.308
9.994	204.243
10.272	207.051
10.628	206.396
10.928	205.215
11.173	204.270
11.467	203.289
11.800	203.271
12.138	202.635
12.431	201.817
12.672	200.841
12.955	200.673
13.311	200.182
13.607	199.869
13.940	199.855
14.192	200.019
14.541	199.869
14.842	199.855
15.135	199.855
15.413	199.869
15.722	199.691
16.057	199.037
16.347	198.411
16.623	197.238
16.959	195.603
17.282	194.523
17.525	193.150
17.818	191.842
18.154	191.121
18.447	190.370
18.761	190.370
19.026	190.149
19.348	188.898
19.663	187.917
19.960	188.205
20.250	188.571
20.543	188.898
20.832	189.663
21.172	190.370
21.465	190.370
21.767	190.149
22.031	190.206
22.388	189.716
22.639	190.149
22.954	189.879
23.289	190.043
23.573	189.663
23.939	189.225
24.169	187.263
24.508	187.719
24.798	187.099
25.113	186.772
25.442	186.261
25.700	184.810
26.014	185.137
26.314	185.289
26.601	185.464
26.936	186.282
27.248	187.233
27.502	187.099
27.817	187.753
28.120	185.775
28.424	187.099
28.718	188.898
29.055	185.775
29.326	179.740
