x	y
3.328	200.841
3.640	209.617
3.951	215.635
4.235	219.348
4.574	220.766
4.843	220.056
5.158	218.914
5.509	218.536
5.744	218.901
6.059	219.965
6.381	219.508
6.667	218.147
7.002	216.488
7.315	214.935
7.568	212.175
7.903	209.723
8.249	206.187
8.448	205.024
8.742	205.349
9.122	205.701
9.413	205.777
9.706	207.461
9.994	212.019
10.272	211.167
10.628	209.835
10.928	209.389
11.173	208.804
11.467	208.165
11.800	208.131
12.138	207.758
12.431	207.221
12.672	206.959
12.955	206.475
13.311	206.297
13.607	206.187
13.940	206.493
14.192	206.709
14.541	206.673
14.842	206.515
15.135	206.335
15.413	205.901
15.722	205.749
16.057	205.143
16.347	204.729
16.623	203.222
16.959	201.182
17.282	199.383
17.525	198.067
17.818	196.827
18.154	196.169
18.447	195.358
18.761	195.491
19.026	195.495
19.348	194.597
19.663	196.140
19.960	195.009
20.250	195.148
20.543	195.717
20.832	196.467
21.172	197.076
21.465	197.230
21.767	196.953
22.031	196.746
22.388	195.903
22.639	195.265
22.954	195.037
23.289	195.176
23.573	195.009
23.939	195.317
24.169	196.051
24.508	193.251
24.798	193.152
25.113	194.912
25.442	194.423
25.700	190.636
26.014	190.585
26.314	191.121
26.601	190.605
26.936	191.322
27.248	191.607
27.502	191.362
27.817	192.949
28.120	191.307
28.424	191.970
28.718	194.032
29.055	191.121
29.326	185.921
