x	y
0.356	22.937
0.711	40.076
1.067	105.643
1.423	161.623
1.778	184.151
2.134	200.632
2.490	211.268
2.845	220.245
3.201	225.971
3.557	229.959
3.912	234.051
4.268	232.166
4.624	227.382
4.979	227.382
5.335	229.674
5.691	232.731
6.046	235.122
6.402	236.061
6.758	236.795
7.113	237.313
7.469	237.678
7.825	239.333
8.180	241.124
8.536	241.526
8.892	239.500
9.247	239.384
9.603	238.460
9.959	237.099
10.314	236.789
10.670	238.500
11.025	238.781
11.381	239.502
11.737	239.353
12.092	239.043
12.448	240.595
12.804	239.867
13.159	238.418
13.515	237.375
13.871	236.231
14.226	236.768
14.582	236.930
14.938	236.230
15.293	235.341
15.649	234.951
15.900	235.452
16.210	237.705
16.550	239.000
17.000	240.980
17.301	244.098
17.633	245.059
18.009	246.241
18.344	246.841
18.700	245.077
19.056	244.175
19.451	243.964
19.757	242.099
20.103	240.602
20.458	241.238
20.884	240.625
21.240	240.764
21.595	240.283
21.951	240.249
22.307	240.041
22.620	240.635
23.018	239.611
23.274	239.045
23.629	237.552
23.985	229.915
24.341	218.407
24.696	212.108
25.052	210.348
25.408	209.953
25.863	211.133
26.119	204.033
26.475	207.960
26.830	205.754
27.186	203.451
27.542	204.009
27.897	205.963
28.253	204.265
28.609	202.103
28.964	203.208
29.320	206.026
29.676	207.246
30.031	208.182
30.387	210.187
30.742	208.202
31.098	205.622
31.454	205.879
31.809	207.543
32.165	210.218
32.521	211.936
32.800	210.960
33.232	213.704
33.600	216.703
34.000	214.707
34.300	215.847
34.700	217.193
35.010	218.431
35.300	219.500
