x	y
0.459	71.601
0.639	94.278
0.879	163.000
0.969	169.000
1.419	167.000
1.870	163.000
2.230	159.000
2.650	156.000
3.010	152.000
3.761	144.200
4.482	131.812
4.932	127.500
5.412	121.000
5.712	119.000
6.227	114.100
7.056	108.000
8.051	100.000
8.879	94.000
9.791	90.000
10.786	85.000
11.698	83.000
12.609	80.000
13.438	76.000
14.433	75.000
15.262	73.000
16.160	70.000
17.091	67.000
17.991	66.000
18.922	65.000
19.823	64.000
20.693	63.000
21.624	61.000
23.395	58.000
25.227	56.000
26.998	54.000
28.799	52.000
30.601	52.000
32.432	49.000
34.203	48.000
36.035	47.000
37.806	45.000
39.637	45.000
