x	y
0.472	72.566
0.752	97.232
0.961	112.737
1.241	126.832
1.451	140.575
1.731	152.555
1.941	162.422
2.221	172.289
2.500	180.746
2.710	186.736
2.920	192.374
3.200	199.069
3.410	204.707
3.690	211.755
3.969	218.098
4.249	220.917
4.949	226.907
5.648	232.193
6.348	235.364
7.117	236.069
7.817	236.069
8.586	235.364
9.286	235.012
10.055	232.898
11.524	223.736
12.224	220.917
12.993	218.450
13.693	215.983
14.463	214.222
15.232	211.755
15.932	210.345
16.631	208.584
17.401	208.231
18.100	207.174
18.870	205.060
19.569	202.593
20.339	200.831
21.108	198.717
21.808	197.307
22.507	194.841
23.277	193.431
23.906	191.669
24.746	189.555
25.445	187.793
26.145	186.384
26.914	184.974
27.614	183.917
28.383	183.212
29.153	182.508
29.922	182.155
30.622	180.746
31.321	180.393
32.021	179.336
32.774	179.000
33.020	178.500
33.192	178.500
33.761	178.600
34.500	178.400
34.768	178.400
35.196	178.600
35.727	178.300
36.181	178.000
36.461	177.500
36.693	177.300
36.984	177.100
37.215	176.800
37.447	176.300
37.657	176.500
37.925	176.300
38.144	176.400
38.432	176.200
38.674	175.800
38.881	175.400
39.135	175.400
39.390	175.600
39.648	176.400
39.866	176.000
40.154	176.000
40.370	175.800
40.562	175.400
40.879	175.600
41.121	175.400
41.326	175.400
41.612	175.300
41.830	175.300
42.086	175.300
42.339	175.400
42.579	175.400
42.795	175.300
43.042	175.400
43.295	175.400
43.575	175.400
43.784	175.300
44.039	175.400
44.284	175.400
44.492	175.400
44.735	176.800
45.005	176.800
45.264	176.800
45.486	176.800
45.750	176.800
45.986	176.800
46.191	176.800
46.433	176.800
46.740	176.800
46.972	176.800
47.178	177.500
47.491	177.500
47.697	177.500
47.916	178.400
48.228	178.300
48.400	178.200
48.713	178.200
