x	y
0.657	0.000
0.816	0.000
1.333	0.000
1.452	0.000
1.531	0.000
1.611	0.000
1.721	0.000
1.810	0.000
1.887	0.000
1.969	0.000
2.048	0.000
2.131	0.000
2.247	0.000
2.311	0.000
2.446	0.000
2.485	0.000
2.567	0.000
2.644	0.000
2.734	0.000
2.843	0.000
2.926	0.000
3.003	0.000
3.080	0.000
3.170	0.000
3.280	0.000
3.349	0.000
3.400	0.000
3.516	0.000
3.605	0.200
3.678	0.500
3.757	0.600
3.849	1.960
3.952	5.603
3.996	7.636
4.144	10.634
4.194	11.401
4.298	12.022
4.375	10.981
4.473	8.712
4.516	8.205
4.592	7.636
4.708	7.858
4.811	8.552
4.910	9.250
4.964	9.593
5.041	10.634
5.144	12.369
5.228	15.166
5.298	15.838
5.400	16.359
5.506	16.241
5.567	15.838
5.644	15.318
5.705	15.166
5.811	15.665
5.904	16.779
6.003	17.226
6.063	17.317
6.170	18.787
6.182	18.930
6.272	19.655
6.381	21.081
6.413	21.737
6.503	22.777
6.619	25.922
6.682	26.420
6.785	27.461
6.849	28.155
6.897	28.611
7.029	30.757
7.175	32.375
7.208	32.666
7.295	32.375
7.375	31.451
7.493	30.762
7.541	30.757
7.652	30.762
7.708	30.931
7.798	31.104
7.891	31.300
7.977	31.972
8.050	32.375
8.129	32.913
8.221	34.053
8.311	35.094
8.408	36.140
8.503	36.135
8.567	36.678
8.657	36.655
8.747	36.309
8.845	36.140
8.964	36.140
9.029	36.135
9.123	36.678
9.183	37.176
9.285	38.043
9.322	37.753
9.413	37.349
9.520	37.215
9.631	37.002
9.695	37.002
9.759	36.678
9.878	36.140
9.952	36.135
10.037	36.140
10.118	36.135
10.196	36.140
10.298	36.309
10.355	36.140
10.465	35.441
10.554	35.602
10.644	35.615
10.753	35.602
10.759	35.615
10.832	35.602
10.926	35.615
10.990	35.615
11.067	35.441
11.150	35.602
11.234	35.268
11.311	35.094
11.413	34.574
11.508	33.989
11.627	33.451
11.683	33.533
11.772	33.880
11.849	34.053
11.926	33.706
11.985	33.451
11.990	33.533
12.104	34.526
12.170	35.094
12.260	35.441
12.342	35.602
12.422	36.140
12.516	37.002
12.606	37.349
12.708	37.696
12.760	37.870
12.819	37.753
12.926	37.523
13.067	37.002
13.137	37.215
13.195	37.523
13.285	38.043
13.362	38.564
13.455	38.829
13.575	39.904
13.606	40.298
13.734	41.166
13.773	41.518
13.901	42.554
13.952	42.901
14.042	43.768
14.131	44.745
14.195	44.982
14.324	45.156
14.409	44.745
14.465	44.809
14.580	44.982
14.687	45.820
14.760	46.023
14.846	45.820
14.886	45.820
14.990	45.850
15.085	45.820
15.204	44.745
15.260	44.115
15.337	43.768
15.482	43.131
15.529	43.074
15.562	42.593
15.683	42.380
15.772	42.901
15.880	43.131
15.959	43.669
16.029	43.595
16.158	43.669
16.196	43.768
16.317	43.669
16.397	44.207
16.465	43.595
16.554	43.421
16.635	43.131
16.721	43.074
16.834	43.669
16.913	43.669
16.953	43.669
17.072	43.131
17.152	42.593
17.192	43.131
17.351	43.131
17.390	43.131
17.470	43.131
17.555	43.074
17.734	42.701
17.748	42.593
17.824	42.554
17.907	42.593
18.026	43.131
18.093	43.248
18.157	43.074
18.265	43.131
18.349	43.074
18.401	43.074
18.503	42.593
18.619	43.074
18.683	43.074
18.821	43.131
18.861	43.131
18.875	43.248
18.939	43.421
19.099	43.669
