x	y
4.101	302.404
5.270	309.149
6.354	314.668
7.523	318.347
8.691	322.026
9.776	322.639
10.944	323.252
12.113	323.252
13.197	320.186
14.366	321.413
15.451	317.120
16.619	313.441
17.704	310.375
18.872	307.309
20.040	304.857
21.209	301.177
22.294	300.564
23.462	301.177
24.547	299.951
25.715	299.951
26.800	300.564
28.052	300.564
29.136	297.498
30.221	296.272
31.306	290.140
32.558	286.461
33.643	285.234
34.811	285.234
35.896	282.168
37.064	282.168
38.233	280.942
39.317	281.555
40.486	279.716
41.571	278.489
42.739	276.037
43.824	273.584
44.992	273.584
46.160	272.971
47.329	271.131
48.414	272.357
49.582	275.423
50.667	279.716
51.835	282.782
52.920	282.782
54.088	284.008
55.257	279.102
56.425	284.008
57.176	288.914
