x	y
3.969	214.820
4.249	211.399
4.949	211.399
5.648	220.141
6.348	223.941
7.117	223.941
7.817	224.321
8.586	225.842
9.286	224.701
10.055	224.701
10.755	225.462
11.524	226.222
12.224	228.122
12.993	226.982
13.693	224.321
14.463	226.222
15.232	225.462
15.932	220.521
16.631	214.820
17.401	216.340
18.100	220.141
18.870	219.000
19.569	214.439
20.339	210.259
21.108	210.639
21.808	212.159
22.507	214.059
23.277	213.299
23.906	217.480
24.746	215.200
25.445	214.820
26.145	220.901
26.914	214.820
27.614	212.539
28.383	206.078
29.153	206.838
29.922	209.498
30.622	208.358
