x	y
0.089	3.294
0.289	33.941
0.488	54.093
0.638	63.750
0.787	73.826
0.987	87.680
1.136	98.176
1.286	103.214
1.535	111.610
1.635	115.389
1.835	120.427
2.034	127.564
2.383	139.319
2.483	141.838
2.682	145.617
2.832	147.296
3.181	151.075
3.380	153.174
3.530	154.433
3.729	155.693
4.078	157.792
4.428	158.212
4.727	158.212
5.126	157.792
5.475	157.792
5.774	157.372
6.173	156.532
6.472	155.693
6.871	154.433
7.469	150.655
8.018	146.876
8.367	144.777
8.866	142.258
9.264	140.159
9.564	138.480
10.062	135.961
10.411	134.701
10.561	134.281
10.760	133.442
11.109	131.762
11.458	130.503
11.758	130.083
12.306	127.984
12.805	126.305
13.353	124.205
13.852	122.526
14.401	120.007
14.500	119.587
14.949	118.748
15.198	117.908
15.597	116.648
15.896	115.389
16.246	114.129
16.395	113.710
16.944	111.191
17.293	110.351
17.492	109.091
17.991	107.832
18.190	106.992
18.340	106.153
18.489	105.733
18.689	105.313
18.839	104.473
19.038	104.053
19.347	102.600
19.586	102.600
19.886	101.534
20.434	99.855
20.883	98.596
21.431	97.336
21.731	96.077
21.930	95.657
22.130	95.237
22.279	94.817
22.977	93.138
23.127	92.718
23.326	92.298
23.476	92.298
23.675	91.458
24.174	89.779
24.374	89.779
24.723	89.359
25.321	87.680
25.520	87.680
25.720	86.840
25.919	86.840
26.069	86.001
26.219	86.001
26.418	85.581
26.767	85.161
27.086	84.100
27.266	83.901
27.565	83.482
28.113	82.642
28.522	81.500
28.762	81.802
29.081	80.600
29.360	80.600
29.859	79.800
30.008	80.000
30.158	79.283
30.307	78.864
30.507	78.864
30.657	78.500
30.856	78.024
31.006	78.100
31.205	78.024
31.355	77.184
31.554	77.300
31.704	77.000
32.053	76.700
32.252	76.300
32.432	76.100
32.751	75.900
32.900	75.700
33.100	74.965
33.788	74.245
34.187	74.065
