x	y
0.398	16.546
0.928	30.610
1.246	36.561
1.484	41.429
1.776	44.675
2.041	47.650
2.306	51.167
2.571	53.060
2.863	54.142
3.128	55.765
3.419	56.847
3.684	57.928
3.949	58.199
4.267	58.740
4.506	59.551
4.744	60.904
5.089	62.256
5.354	61.986
5.646	61.715
5.884	61.445
6.176	62.256
6.414	62.527
6.653	64.149
6.971	65.502
7.209	66.584
7.501	66.854
7.792	67.395
8.031	67.666
8.322	67.666
8.587	67.395
8.853	67.395
9.144	68.207
9.436	68.477
9.701	68.477
9.966	69.288
10.204	69.829
10.496	70.641
10.814	70.641
11.052	70.100
11.344	70.641
11.635	70.370
11.874	71.452
12.139	71.993
12.431	71.723
12.722	72.264
13.014	72.534
