x	y
0.052	6.116
0.091	9.739
0.143	13.000
0.194	16.985
0.246	20.246
0.297	23.869
0.349	26.768
0.387	30.028
0.452	32.927
0.490	35.463
0.542	37.999
0.593	40.536
0.645	43.434
0.696	45.608
0.748	48.507
0.800	50.681
0.838	52.130
0.903	55.028
0.941	57.202
0.980	58.652
1.044	60.825
1.096	62.637
1.147	64.811
1.199	66.985
1.250	68.796
1.302	70.608
1.353	72.420
1.405	74.231
1.456	75.680
1.508	77.130
1.547	78.217
1.598	79.666
1.650	81.840
1.701	83.289
1.753	84.738
1.804	86.188
1.856	87.637
1.907	88.724
1.959	90.173
2.010	91.260
2.062	92.709
2.113	93.796
2.152	94.883
2.204	95.970
2.242	96.695
2.294	98.144
2.345	99.231
2.410	100.318
2.487	101.767
2.551	103.217
2.603	104.304
2.654	105.028
2.706	106.115
2.745	106.840
2.809	107.927
2.848	108.651
2.912	109.376
2.964	110.463
3.028	111.550
3.105	112.275
3.157	112.999
3.208	114.086
3.260	114.811
3.311	115.173
3.363	115.898
3.402	116.260
3.479	117.347
3.556	118.434
3.633	119.521
3.698	119.883
3.762	120.608
3.839	121.332
3.904	121.695
3.955	122.419
4.007	122.782
4.058	123.144
4.097	123.506
4.149	124.231
4.200	124.593
4.252	124.956
4.303	125.318
4.355	125.680
4.406	126.043
4.445	126.405
4.496	126.767
4.548	127.130
4.599	127.492
4.651	127.854
4.703	128.217
4.741	128.579
4.780	128.579
4.857	129.303
4.896	129.303
4.947	129.666
4.999	130.028
5.050	130.390
5.102	130.390
5.153	130.390
5.205	130.753
5.256	130.753
5.295	131.115
5.347	131.477
5.398	131.477
5.450	131.840
5.514	131.840
5.553	131.840
5.604	132.202
5.656	132.202
5.707	132.564
5.759	132.564
5.810	132.927
5.862	132.927
5.913	132.927
5.952	132.927
5.991	132.927
6.042	132.927
6.094	132.927
6.145	132.927
6.197	132.927
6.248	133.289
6.300	133.289
6.351	133.289
6.390	133.651
6.441	133.651
6.493	133.651
6.545	133.651
6.596	133.651
6.648	133.651
6.699	133.651
6.751	133.651
6.802	133.651
6.841	133.651
