x	y
0.027	0
0.276	0
0.338	0
0.650	0
0.961	0
1.211	0
1.522	0
1.833	0
2.145	0
2.456	0
2.706	0
3.017	0
3.328	0
3.640	0.099
3.951	3.043
4.574	13.249
5.509	18.109
6.381	26.371
7.315	28.315
8.249	25.885
9.122	22.483
9.994	19.081
10.928	22.969
11.800	23.941
12.672	26.371
13.607	29.287
14.541	35.119
15.413	38.035
16.347	39.493
17.282	38.521
18.154	38.035
19.026	39.493
19.960	40.950
20.832	41.922
21.767	41.922
22.639	41.922
23.573	41.436
24.508	40.465
25.442	40.465
26.314	39.979
27.248	39.007
28.120	38.521
29.055	37.549
