x	y
0.657	1.183
0.816	12.477
1.333	90.458
1.452	93.685
1.531	99.600
1.611	102.289
1.810	109.281
1.969	115.734
2.048	117.348
2.247	125.415
2.446	129.717
2.485	130.793
2.644	136.171
2.843	139.936
3.280	149.616
3.400	151.767
3.678	156.070
3.757	157.683
3.996	160.372
4.194	162.523
4.473	165.750
4.592	166.826
4.910	169.515
5.228	171.666
5.506	173.279
5.705	174.355
5.904	174.893
6.063	175.430
6.182	175.430
6.381	175.968
6.619	175.968
6.897	175.968
7.175	175.968
7.295	175.968
7.493	175.430
7.652	175.430
7.891	174.893
8.050	174.893
8.129	174.893
8.408	173.279
8.567	172.741
8.845	172.204
8.964	171.666
9.123	171.128
9.322	170.052
9.520	170.052
9.759	169.515
9.878	168.977
10.037	167.901
10.196	166.826
10.355	165.750
10.554	165.212
10.753	164.137
10.832	164.137
11.150	162.523
11.508	160.372
11.627	159.834
11.985	158.221
12.104	157.683
12.342	156.070
12.422	155.532
12.819	153.918
13.137	152.305
13.455	150.692
13.575	150.154
13.773	149.078
14.131	147.465
14.409	146.389
14.687	144.776
14.846	143.700
14.886	143.700
15.085	142.625
15.204	142.087
15.482	141.011
15.562	140.473
15.880	138.322
15.959	137.784
16.158	137.247
16.317	136.709
16.397	136.171
16.635	135.095
16.834	134.020
16.913	133.482
16.953	134.020
17.072	133.482
17.152	133.482
17.192	132.944
17.351	132.406
17.390	132.406
17.470	131.869
17.748	130.793
17.907	130.255
18.026	129.717
18.265	129.180
18.503	128.642
18.821	127.566
18.861	127.566
19.099	127.028
