x	y
0.459	71.601
0.639	94.278
0.879	123.211
0.969	124.775
1.419	131.812
1.870	136.895
2.230	137.677
2.650	138.850
3.010	137.286
3.761	134.158
4.482	131.812
4.932	131.812
5.412	131.812
5.712	133.376
6.227	135.300
7.056	141.800
8.051	148.100
8.879	150.700
9.791	152.100
10.786	154.000
11.698	156.600
12.609	160.300
13.438	160.900
14.433	161.160
15.262	160.100
16.160	157.600
17.091	154.000
17.991	151.700
18.922	147.900
19.823	144.400
20.693	140.600
21.624	136.500
23.395	129.200
25.227	121.400
26.998	115.500
28.799	110.000
30.601	106.400
32.432	102.800
34.203	99.600
36.035	96.900
37.806	94.000
39.637	92.000
