x	y
0.332	32.042
0.472	38.033
0.752	65.518
0.961	93.708
1.241	106.746
1.451	122.956
1.731	139.165
1.941	149.032
2.221	159.603
2.500	167.708
2.710	173.698
2.920	183.917
3.200	192.374
3.410	196.955
3.690	205.060
3.969	208.584
4.249	213.164
4.949	219.860
5.648	225.498
6.348	226.555
7.117	227.260
7.817	226.202
8.586	225.145
9.286	223.736
10.055	220.917
10.755	215.631
11.524	209.993
12.224	206.469
12.993	202.593
13.693	199.069
14.463	194.841
15.232	192.022
15.932	188.498
16.631	186.736
17.401	184.269
18.100	181.803
18.870	178.984
19.569	176.517
20.339	173.698
21.108	170.174
21.808	168.060
22.507	165.946
23.277	163.127
23.906	160.660
24.746	157.841
25.445	155.374
26.145	152.555
26.914	150.441
27.614	148.327
28.383	146.000
29.153	144.000
29.922	141.613
30.622	139.394
31.321	136.927
32.021	135.165
32.774	133.851
33.020	133.289
33.192	132.800
33.761	130.933
34.500	129.128
34.768	128.645
35.196	127.958
35.727	126.832
36.181	125.586
36.461	124.942
36.693	124.546
36.984	124.183
37.215	123.786
37.447	123.346
37.657	122.989
37.925	122.703
38.144	122.334
38.432	121.977
38.674	121.423
38.881	121.000
39.135	120.333
39.390	119.718
39.648	119.428
39.866	118.859
40.154	118.491
40.370	117.814
40.562	117.378
40.879	117.017
41.121	116.725
41.326	116.487
41.612	116.081
41.830	115.736
42.086	115.344
42.339	115.084
42.579	114.793
42.795	114.555
43.042	114.142
43.295	113.913
43.575	113.485
43.784	112.932
44.039	112.695
44.284	112.327
44.492	111.846
44.735	111.484
45.005	111.055
45.264	110.719
45.486	110.575
45.750	110.108
45.986	109.706
46.191	109.338
46.433	109.055
46.740	108.765
46.972	108.611
47.178	108.243
47.491	108.058
47.697	107.637
47.916	107.347
48.228	106.987
48.400	106.918
48.713	106.366
