x	y
0.440	138.494
0.587	142.259
0.684	122.896
0.782	126.661
0.917	124.084
1.026	142.259
1.122	140.219
1.222	128.812
1.319	136.342
1.421	138.484
1.564	147.638
1.642	141.434
1.808	143.335
1.857	150.865
1.957	146.986
2.052	149.251
2.162	151.323
2.296	147.638
2.398	148.027
2.492	152.191
2.587	149.935
2.697	151.150
2.833	151.941
2.918	154.967
2.980	157.319
3.123	157.569
3.233	157.916
3.322	158.933
3.419	163.774
3.532	167.285
3.658	166.417
3.712	168.076
3.894	168.152
3.956	171.304
4.083	173.878
4.178	175.092
4.298	177.758
4.351	181.685
4.445	183.137
4.588	183.246
4.714	183.767
4.836	187.977
4.903	189.492
4.997	191.748
5.123	191.748
5.226	193.356
5.312	194.524
5.438	194.697
5.568	195.508
5.643	196.953
5.738	199.208
5.812	201.962
5.942	200.076
6.056	198.735
6.179	200.076
6.252	200.886
6.383	199.382
6.398	199.810
6.509	200.076
6.642	201.962
6.683	200.596
6.793	199.902
6.935	198.735
7.013	200.423
7.140	199.382
7.218	200.770
7.277	203.576
7.439	201.811
7.619	203.576
7.659	201.637
7.766	200.348
7.864	197.820
8.010	195.508
8.069	199.555
8.205	201.962
8.274	199.035
8.384	199.555
8.498	199.810
8.605	199.035
8.694	198.735
8.791	200.886
8.904	198.514
9.014	196.953
9.133	196.045
9.250	196.085
9.328	194.970
9.439	196.606
9.550	197.300
9.670	198.197
9.817	201.962
9.896	204.066
10.012	205.727
10.085	203.893
10.211	203.719
10.256	204.113
10.369	202.852
10.501	201.962
10.637	201.290
10.715	200.423
10.794	200.348
10.940	201.424
11.030	200.249
11.135	200.348
11.235	197.473
11.331	196.583
11.456	196.606
11.526	199.273
11.661	197.300
11.770	197.659
11.881	198.341
12.014	199.810
12.023	199.208
12.112	196.045
12.228	196.085
12.306	193.656
12.401	192.268
12.503	191.743
12.606	192.442
12.700	193.136
12.826	192.962
12.942	193.356
13.089	191.743
13.157	194.350
13.267	195.391
13.362	195.738
13.456	196.085
13.528	197.659
13.535	197.647
13.675	200.348
13.756	200.770
13.866	200.249
13.968	199.810
14.066	201.962
14.181	200.943
14.291	200.423
14.417	199.729
14.480	198.688
14.554	201.962
14.685	201.637
14.858	200.596
14.945	200.886
15.016	202.331
15.126	202.331
15.221	202.331
15.335	202.500
15.482	205.189
15.520	206.669
15.678	206.669
15.726	208.954
15.882	207.710
15.945	210.312
16.056	211.006
16.165	212.719
16.245	215.343
16.402	215.343
16.507	217.560
16.575	212.914
16.717	214.129
16.849	213.795
16.938	214.129
17.045	211.106
17.093	205.727
17.221	206.495
17.338	211.643
17.484	207.878
17.552	195.565
17.647	199.729
17.826	203.038
17.883	199.208
17.924	206.803
18.072	202.852
18.182	205.454
18.314	200.886
18.412	194.970
18.497	194.350
18.656	193.894
18.702	191.574
18.851	193.894
18.949	186.364
19.033	186.890
19.143	188.625
19.242	190.667
19.348	190.013
19.486	201.424
19.584	188.515
19.633	184.750
19.779	203.576
19.877	209.492
19.926	224.552
20.121	213.257
20.170	203.576
20.268	224.014
20.372	194.697
20.592	190.533
20.610	193.894
20.703	192.615
20.805	196.583
20.951	192.280
21.034	194.871
21.112	198.688
21.244	220.249
21.349	214.476
21.412	200.943
21.537	199.273
21.679	200.596
21.758	196.432
21.928	205.727
21.977	191.743
21.994	191.574
22.073	193.309
22.270	199.273
