x	y
0.440	148.713
0.587	148.713
0.684	148.713
0.782	149.789
0.917	150.629
1.642	158.957
7.439	202.852
11.881	200.249
20.703	191.748
18.702	192.615
1.026	151.403
1.121	151.629
1.222	153.554
1.319	154.630
1.421	155.487
1.564	157.319
1.808	160.546
1.857	161.622
1.957	162.600
2.052	163.774
2.162	165.029
2.296	167.001
2.398	168.152
2.492	169.887
2.587	171.275
2.697	172.143
2.833	173.993
2.918	175.092
2.980	176.144
3.123	177.174
3.232	178.736
3.322	179.909
3.419	180.447
3.532	182.206
3.659	183.246
3.712	183.675
3.894	185.849
3.956	186.364
4.084	187.410
4.178	188.451
4.298	189.053
4.351	189.319
4.445	190.129
4.588	190.880
4.714	191.748
4.836	192.280
4.902	192.616
4.997	193.256
5.123	193.656
5.226	194.432
5.312	195.044
5.438	195.686
5.568	196.045
5.643	196.953
5.738	197.126
5.812	197.659
5.942	198.167
6.056	198.735
6.179	199.035
6.252	199.273
6.384	199.555
6.398	199.810
6.509	199.823
6.642	200.348
6.682	200.596
6.793	201.290
6.935	201.424
7.013	201.984
7.139	202.331
7.218	202.505
7.277	202.500
7.619	203.038
7.659	203.372
7.766	203.576
7.864	203.372
8.010	203.038
8.068	203.025
8.205	203.038
8.274	203.199
8.384	203.372
8.498	203.038
8.604	203.025
8.694	203.038
8.791	203.038
8.904	203.199
9.014	203.199
9.133	203.576
9.250	203.719
9.328	203.576
9.439	203.546
9.550	203.546
9.670	203.576
9.817	203.576
9.897	203.546
10.012	203.576
10.086	203.719
10.211	203.719
10.256	203.576
10.369	203.372
10.501	203.038
10.636	202.505
10.715	202.158
10.794	201.962
10.940	201.962
11.030	201.464
11.135	200.886
11.235	200.596
11.331	200.348
11.456	200.596
11.526	200.886
11.661	200.423
11.770	199.810
12.014	199.810
12.022	199.576
12.112	199.273
12.227	199.555
12.306	199.382
12.401	199.382
12.503	199.273
12.606	199.208
12.701	198.861
12.826	198.341
12.942	197.659
13.089	197.659
13.158	197.647
13.267	197.647
13.362	197.820
13.456	197.647
13.528	197.659
13.535	197.647
13.675	197.659
13.756	197.647
13.867	197.473
13.968	197.121
14.066	197.121
14.181	197.126
14.291	197.126
14.417	196.953
14.481	196.606
14.554	196.583
14.685	196.259
14.858	196.432
14.945	196.045
15.015	195.912
15.126	195.912
15.221	195.738
15.335	195.508
15.482	195.508
15.520	195.565
15.678	195.565
15.726	195.508
15.883	195.391
15.946	195.738
16.056	195.738
16.165	196.045
16.244	196.085
16.403	195.738
16.507	195.508
16.576	195.218
16.717	195.218
16.849	194.970
16.938	195.044
17.045	194.970
17.093	194.970
17.221	194.871
17.338	194.432
17.484	193.894
17.552	193.656
17.647	193.830
17.826	193.356
17.883	193.656
17.924	193.356
18.072	193.483
18.182	193.309
18.314	192.818
18.412	192.818
18.497	192.789
18.656	192.280
18.851	192.280
18.949	192.280
19.033	192.442
19.143	192.442
19.242	192.280
19.348	192.268
19.486	192.280
19.584	191.743
19.633	192.280
19.779	192.280
19.877	192.280
19.926	192.818
20.121	192.818
20.170	192.280
20.268	192.280
20.372	192.095
20.592	191.748
20.610	191.743
20.805	191.743
20.951	191.743
21.034	191.748
21.112	191.921
21.244	192.280
21.348	192.095
21.412	191.921
21.537	191.743
21.680	191.574
21.758	191.574
21.928	191.574
21.977	191.743
21.994	192.095
22.073	192.268
22.270	192.818
