x	y
0.364	0.000
0.666	0.000
0.886	1.800
1.160	5.700
1.435	5.300
1.710	6.300
1.984	7.700
2.259	9.700
2.534	11.400
2.781	10.600
3.056	10.500
3.303	8.300
3.577	8.200
3.852	10.000
4.127	13.000
4.374	16.000
4.649	16.000
4.923	13.000
5.198	14.000
5.445	12.000
5.747	12.000
5.995	13.000
6.242	13.000
6.517	12.000
6.791	15.000
7.066	20.000
7.313	22.000
7.588	24.000
7.835	24.000
8.110	24.000
8.412	23.000
8.659	24.000
8.906	25.000
9.208	26.000
9.456	27.000
9.758	30.000
10.005	30.000
10.252	30.000
10.527	33.000
10.801	34.000
11.049	36.000
11.323	38.000
11.571	39.000
11.845	41.000
12.147	44.000
12.395	45.000
12.642	46.000
12.944	47.000
