x	y
0.371	12.000
0.530	18.000
0.663	24.000
0.795	28.000
0.928	31.000
1.060	33.000
1.166	37.000
1.325	40.000
1.458	43.000
1.590	45.000
1.723	46.000
1.855	48.000
1.988	51.000
2.134	52.000
2.266	54.000
2.399	56.000
2.531	58.000
2.651	59.000
2.810	60.000
2.916	61.000
3.061	62.000
3.194	63.000
3.326	63.500
3.446	64.000
3.605	65.000
3.711	66.000
3.856	67.000
3.989	68.000
4.122	69.000
4.267	69.500
4.387	70.000
4.519	71.000
4.638	72.000
4.797	73.000
4.930	74.000
5.049	75.000
5.195	75.500
5.314	76.000
5.433	76.500
5.579	76.500
5.738	77.000
5.844	77.400
5.990	78.000
6.096	78.400
6.229	79.000
6.388	79.800
6.520	80.500
6.639	82.000
6.772	83.000
6.918	85.000
7.037	87.000
7.183	88.000
7.302	89.000
7.448	90.000
7.580	91.000
7.713	92.000
7.859	93.000
7.978	93.500
8.110	94.000
8.243	94.000
8.389	95.000
8.508	95.000
8.640	95.500
8.773	96.000
8.892	97.000
9.038	98.000
9.184	99.000
9.316	100.000
9.436	101.000
9.568	101.500
9.701	102.000
9.833	102.500
9.966	104.000
10.098	105.000
10.244	106.000
10.363	107.000
10.496	108.000
10.628	109.000
10.761	110.000
10.893	111.000
11.026	111.500
11.172	112.000
11.304	113.000
11.450	114.000
11.582	115.000
11.688	115.500
11.834	116.500
11.954	117.500
12.099	118.500
12.232	120.000
12.364	120.500
12.497	121.000
12.629	122.000
12.775	123.000
12.908	124.000
13.027	125.000
