x	y
0.263	11.751
0.847	37.505
1.848	74.297
2.432	109.249
2.933	134.389
3.767	166.275
4.101	215.944
5.270	190.190
6.354	169.341
7.523	153.398
8.691	141.134
9.776	132.550
10.944	125.805
12.113	118.446
13.197	114.154
14.366	109.249
15.451	104.956
16.619	101.277
17.704	97.598
18.872	94.532
20.040	92.079
21.209	89.626
22.294	87.174
23.462	84.721
24.547	82.881
25.715	81.042
26.800	79.202
28.052	77.976
29.136	76.136
30.221	74.910
31.306	73.683
32.558	72.457
33.643	70.617
34.811	69.391
35.896	68.778
37.064	66.938
38.233	66.325
39.317	65.712
40.486	65.099
41.571	63.872
42.739	62.646
43.824	62.033
44.992	61.420
46.160	60.806
47.329	59.580
48.414	58.967
49.582	58.354
50.667	57.740
51.835	57.127
52.920	56.514
54.088	55.901
55.257	55.288
56.425	54.674
57.176	54.674
