x	y
2.710	60.510
2.920	58.609
3.200	53.668
3.410	51.768
3.690	49.487
3.969	47.207
4.249	45.687
4.949	42.266
5.648	39.225
6.348	36.565
7.117	34.665
7.817	32.764
8.586	31.244
9.286	29.724
10.055	28.583
10.755	27.823
11.524	26.683
12.224	25.543
12.993	25.163
13.693	24.403
14.463	23.642
15.232	23.262
15.932	22.882
16.631	22.502
17.401	22.122
18.100	21.362
18.870	20.982
19.569	20.222
20.339	20.222
21.108	19.842
21.808	19.462
22.507	19.462
23.277	19.082
23.906	18.701
24.746	18.321
25.445	17.941
26.145	17.561
27.614	17.181
28.383	17.181
29.153	16.801
29.992	16.801
30.622	16.801
