x	y
0.0010	9.565
0.423	162.462
0.915	213.710
1.516	245.052
2.008	264.111
2.555	266.229
3.102	259.029
3.703	248.017
4.195	238.276
4.687	229.805
5.233	219.640
5.780	208.628
6.327	200.157
7.365	186.180
8.513	172.204
9.552	162.886
10.700	154.415
11.739	147.638
12.832	141.709
13.925	135.779
14.964	131.120
16.002	127.309
17.096	123.497
18.244	118.414
19.282	116.297
20.321	112.908
21.414	109.096
22.507	106.979
23.655	104.861
24.585	101.896
25.733	99.779
26.771	97.661
27.919	95.543
28.903	94.273
29.942	92.578
