x	y
0.052	209.081
0.102	217.508
0.152	238.574
0.202	241.382
0.252	239.978
0.302	238.574
0.351	235.765
0.401	232.956
0.451	228.743
0.501	225.934
0.551	223.125
0.601	220.316
0.651	217.508
0.701	214.699
0.751	211.890
0.801	210.485
0.851	207.677
0.901	204.868
0.951	202.059
1.001	200.655
1.050	197.846
1.100	196.441
1.150	195.037
1.200	192.228
1.250	189.419
1.302	187.999
1.341	186.550
1.379	185.100
1.418	183.651
1.469	181.840
1.495	180.753
1.521	179.666
1.559	178.579
1.598	177.129
1.650	175.680
1.701	174.231
1.740	172.782
1.791	170.970
1.843	169.158
1.894	168.071
1.946	166.984
1.997	165.535
2.036	164.448
2.088	162.999
2.152	161.550
2.191	160.463
2.242	159.013
2.294	157.927
2.345	156.840
2.397	155.753
2.448	154.666
2.487	153.579
2.551	152.492
2.590	151.405
2.642	149.956
2.693	148.869
2.745	148.144
2.809	147.057
2.860	145.970
2.899	145.245
2.938	144.158
2.989	143.434
3.041	142.709
3.092	141.622
3.144	140.898
3.195	139.811
3.247	139.086
3.298	138.361
3.350	137.637
3.414	136.550
3.453	135.825
3.505	135.101
3.530	134.376
3.595	133.651
3.646	132.564
3.698	131.840
3.749	131.115
3.788	130.753
3.839	130.028
3.878	129.303
3.943	128.579
3.994	127.854
4.046	127.130
4.097	126.405
4.149	125.680
4.187	125.318
4.239	124.593
4.303	123.869
4.355	123.506
4.406	122.419
4.445	122.419
4.496	121.695
4.548	120.970
4.599	120.608
4.638	120.246
4.690	119.521
4.741	119.159
4.793	118.072
4.844	118.072
4.896	117.347
4.947	116.985
4.999	116.260
5.037	115.898
5.089	115.535
5.140	114.811
5.192	114.086
5.244	113.724
5.295	113.361
5.347	112.999
5.398	112.637
5.437	112.275
5.488	111.912
5.540	111.188
5.591	110.825
5.643	110.463
5.694	110.101
5.746	109.738
5.797	109.376
5.849	108.651
5.900	108.289
5.952	107.927
5.991	107.564
6.042	107.202
6.094	106.840
6.145	106.115
6.197	106.115
6.248	105.391
6.287	105.028
6.338	105.028
6.390	104.666
6.441	103.941
6.493	103.579
6.545	103.217
6.596	102.854
6.648	102.492
6.699	102.492
6.751	102.130
6.802	102.130
6.854	101.767
6.905	101.767
6.944	101.405
6.995	101.043
7.047	100.680
7.098	100.318
7.150	100.318
7.201	99.956
7.253	99.593
7.305	99.231
7.356	98.869
7.395	98.506
7.446	98.144
7.498	97.782
7.549	97.420
7.601	97.057
7.639	97.057
7.691	96.695
7.742	96.333
7.794	95.970
7.846	95.608
7.897	95.246
7.949	94.883
8.013	94.521
8.052	94.521
8.103	94.159
8.142	93.796
8.206	93.434
8.258	93.072
8.296	93.072
8.348	92.709
8.399	92.709
8.438	92.347
8.490	91.985
8.541	91.622
8.593	91.260
8.644	91.260
8.696	90.898
8.747	90.535
8.799	90.173
8.850	89.811
8.902	89.811
8.953	89.449
9.005	89.086
9.056	89.086
9.095	88.724
9.147	88.724
9.198	88.724
9.250	88.362
9.301	87.999
9.353	87.637
9.391	87.637
9.443	87.275
9.494	87.275
9.546	86.912
9.597	86.912
9.649	86.550
9.700	86.188
9.752	86.188
9.803	85.825
9.842	85.463
9.894	85.463
9.945	85.101
9.997	84.738
10.048	84.738
10.087	84.376
10.138	84.376
10.190	84.014
10.241	83.651
10.293	83.651
10.344	83.289
10.396	82.927
10.448	82.927
10.499	82.564
10.551	82.564
10.602	82.202
10.654	82.202
10.705	82.202
10.757	81.840
10.795	81.840
10.860	81.478
10.898	81.478
10.937	81.115
11.001	80.753
11.040	80.753
11.092	80.753
11.156	80.028
11.208	80.391
11.246	80.028
11.298	80.028
11.336	79.666
11.388	79.666
11.439	79.304
11.491	79.304
11.555	79.304
11.607	78.941
11.645	78.217
11.697	78.217
11.749	78.217
11.800	78.217
11.839	78.217
11.890	77.854
11.942	77.854
12.006	77.492
12.045	77.492
12.096	77.492
12.148	77.130
12.186	77.130
12.238	76.767
12.302	76.767
12.341	76.405
12.405	76.405
12.444	76.043
12.496	76.043
12.547	76.043
12.599	75.680
12.650	75.318
12.702	75.318
12.740	74.956
12.792	74.956
12.843	74.956
12.895	74.594
12.946	74.594
12.998	74.231
13.050	74.231
13.088	74.231
13.140	73.869
13.191	73.869
13.243	73.869
13.294	73.869
13.346	73.507
13.397	73.507
13.449	73.507
13.500	73.144
13.552	73.144
13.603	72.782
13.655	72.782
13.706	72.420
13.745	72.420
13.797	72.420
13.848	72.057
13.900	72.057
13.951	72.057
14.003	72.057
14.041	72.057
14.093	71.695
14.144	71.695
14.196	71.333
14.247	71.333
14.286	70.970
14.338	71.333
14.389	70.970
14.441	70.608
14.492	70.608
14.544	70.608
14.595	70.608
14.647	70.246
14.698	69.883
14.750	69.883
14.801	69.883
14.840	69.883
14.892	69.521
14.943	69.521
14.995	69.159
15.046	69.159
15.098	69.159
15.149	69.159
15.201	69.159
15.252	68.796
15.291	68.796
15.342	68.434
15.394	68.434
15.445	68.434
15.497	68.072
15.548	68.072
15.587	67.709
15.639	67.709
15.690	67.709
15.742	67.709
15.793	67.709
15.845	67.347
15.896	67.347
15.948	67.347
16.012	67.347
16.051	66.985
16.102	66.985
16.141	66.985
16.193	66.985
16.244	66.623
16.296	66.623
16.347	66.260
16.399	66.260
16.489	66.260
16.553	65.898
16.605	65.536
16.656	65.536
16.708	65.536
16.746	65.536
16.798	65.536
16.837	65.536
16.888	65.173
16.940	65.173
17.004	65.173
17.043	65.173
17.094	65.173
17.146	65.173
17.197	64.811
17.249	64.811
17.300	64.811
17.352	64.811
17.390	64.449
17.442	64.449
17.494	64.449
17.545	64.449
17.597	64.449
17.648	64.086
17.687	64.086
17.751	64.086
17.790	63.724
17.841	63.724
17.906	63.724
17.944	63.362
18.009	63.362
18.047	63.362
18.099	63.362
18.150	63.362
18.202	63.362
18.254	62.999
18.305	62.999
18.344	62.637
18.395	62.637
18.447	62.275
18.498	62.275
18.550	62.275
18.601	62.275
18.653	62.275
18.704	62.275
18.743	61.912
18.795	61.912
18.846	61.912
18.898	61.912
18.949	61.912
19.001	61.912
19.039	61.550
19.091	61.550
19.142	61.550
19.194	61.550
19.245	61.550
19.297	61.188
19.336	61.188
19.387	61.188
19.439	61.188
19.490	61.188
19.542	60.825
19.593	60.463
19.645	60.825
19.696	60.825
19.748	60.463
19.799	60.463
19.851	60.825
19.902	60.463
