x	y
0.089	7.557
0.223	12.277
0.490	16.998
0.624	22.505
0.758	27.225
0.891	31.159
1.025	35.093
1.159	38.240
1.292	41.387
1.426	44.534
1.560	48.467
1.560	52.401
1.693	57.121
1.961	61.842
2.094	68.136
2.228	73.643
2.495	79.150
2.763	85.444
2.896	91.738
3.164	97.245
3.297	101.965
3.297	105.899
3.431	111.406
3.698	116.127
3.832	120.847
3.966	124.781
5.971	102.752
8.110	88.591
10.115	79.150
12.254	72.069
14.259	66.562
16.264	62.629
18.403	59.482
20.408	55.548
22.546	53.188
24.552	50.827
26.690	48.467
28.562	47.681
30.701	45.320
32.706	43.747
34.844	42.960
36.849	42.173
38.988	40.600
40.860	39.813
42.998	39.026
45.004	37.453
47.142	37.453
49.147	35.879
51.286	35.093
53.158	34.306
55.296	33.519
57.435	32.733
59.440	32.733
61.579	32.733
63.584	31.000
