x	y
0.488	148.556
0.638	160.731
0.787	165.769
0.987	174.585
1.136	180.043
1.286	183.822
1.535	190.119
1.635	195.157
1.835	199.355
2.034	203.973
2.383	206.492
2.483	203.134
2.682	198.935
2.832	196.416
3.181	194.317
3.380	196.416
3.530	199.355
3.729	201.454
4.078	205.233
4.428	207.332
4.727	206.912
5.126	206.912
5.475	208.172
5.774	208.592
6.173	208.592
6.472	208.172
6.871	207.752
7.469	209.011
8.018	209.851
8.367	211.111
8.866	211.111
9.264	209.851
9.564	207.752
10.062	209.431
10.411	208.592
10.561	209.431
10.760	206.912
11.109	204.813
11.458	200.195
11.758	198.096
12.306	201.874
12.805	203.973
13.353	201.035
13.852	197.256
14.401	194.317
14.500	195.157
14.949	193.897
15.198	196.416
15.597	198.096
15.896	196.836
16.246	198.096
16.395	200.195
16.944	202.294
17.293	199.355
17.492	201.454
17.991	198.935
18.190	201.874
18.340	204.813
18.489	205.233
18.689	203.973
18.839	198.935
19.038	201.035
19.347	196.900
19.586	194.905
19.886	191.378
20.434	191.798
20.883	193.897
21.431	193.058
21.731	192.638
21.930	190.539
22.130	188.020
22.279	186.760
22.977	187.180
23.127	190.959
23.326	194.317
23.476	193.478
23.675	194.737
24.174	191.378
24.374	191.378
24.723	187.180
25.321	190.119
25.520	189.699
25.720	186.760
25.919	188.440
26.069	186.340
26.219	180.043
26.418	175.845
26.767	171.646
27.086	176.768
27.266	178.364
27.565	183.822
28.113	184.241
28.522	186.844
28.762	188.859
29.081	191.546
29.360	193.058
29.859	191.378
30.008	189.400
30.158	189.000
30.307	185.500
30.507	187.000
30.657	187.000
30.856	176.200
31.006	176.000
31.205	165.500
31.355	167.200
31.554	159.900
31.704	161.500
32.053	163.100
32.252	159.600
32.432	158.632
32.751	161.990
32.900	165.000
33.100	165.600
33.788	166.692
34.187	170.723
