x	y
0.262	60.585
0.752	149.032
0.961	161.013
1.241	166.298
1.451	174.403
1.731	180.041
1.941	183.917
2.221	190.260
2.500	195.546
2.710	200.126
2.920	204.003
3.200	206.469
3.410	206.822
3.690	203.650
3.969	199.422
4.249	196.250
4.949	196.250
5.648	204.355
6.348	207.879
7.117	207.879
7.817	208.231
8.586	209.641
9.286	208.584
10.055	208.584
10.755	209.288
11.524	209.993
12.224	211.755
12.993	210.698
13.693	208.231
14.463	209.993
15.232	209.288
15.932	204.707
16.631	199.422
17.401	200.831
18.100	204.355
18.870	203.298
19.569	199.069
20.339	195.193
21.108	195.546
21.808	196.955
22.507	198.717
23.277	198.012
23.906	201.888
24.746	199.774
25.445	199.422
26.145	205.060
26.914	199.422
27.614	197.307
28.383	191.317
29.153	192.022
29.922	194.488
30.622	193.431
31.321	190.965
32.021	187.793
