x	y
0.101	243.118
0.210	241.905
0.319	239.073
0.427	236.242
0.536	230.580
0.645	226.535
0.753	221.277
0.862	215.615
0.971	210.357
1.043	204.695
1.079	200.246
1.152	197.819
1.188	195.797
1.260	194.179
1.296	192.156
1.369	191.347
1.441	189.325
1.514	188.112
1.659	184.067
1.840	180.832
2.021	175.978
2.166	173.147
2.347	169.911
2.528	164.653
2.637	162.227
2.709	161.418
2.854	159.800
2.962	157.373
3.071	155.351
3.180	153.329
3.288	151.711
3.397	150.497
3.506	149.688
3.614	147.262
3.723	146.048
3.759	144.430
3.904	143.622
4.049	143.217
4.158	142.004
4.303	139.981
4.484	138.768
4.665	137.150
4.810	135.532
4.954	133.510
5.136	132.297
5.317	130.679
5.498	129.870
5.715	127.848
5.787	127.039
5.969	125.017
6.150	124.208
6.294	122.994
6.476	122.185
6.584	120.972
6.693	120.972
6.802	119.759
6.946	118.950
7.055	118.545
7.200	118.141
7.345	116.927
7.490	116.119
7.635	115.310
7.852	114.501
7.997	113.692
8.178	112.883
8.286	112.074
8.431	110.861
8.576	109.243
8.721	109.243
8.902	108.838
9.047	108.838
9.156	108.434
9.301	107.625
9.445	107.221
9.663	106.007
9.844	104.794
10.025	104.794
10.170	104.389
10.351	103.176
10.532	103.176
10.713	101.963
10.894	101.558
11.111	101.154
11.292	100.345
11.510	99.536
11.655	99.131
11.800	99.131
11.981	97.514
12.162	97.514
12.415	97.514
12.633	96.705
12.850	95.491
13.031	94.682
13.140	94.682
13.321	93.469
13.502	93.065
13.647	93.469
13.791	93.065
13.936	92.256
14.117	92.256
14.335	92.256
14.480	91.042
14.661	91.447
14.806	91.042
14.950	89.829
15.204	89.424
15.457	89.424
15.747	88.211
16.001	88.211
16.218	88.211
16.327	86.998
16.435	86.593
16.653	86.593
16.870	86.593
17.087	85.380
17.341	85.380
17.522	85.380
17.667	84.166
17.775	84.166
17.956	84.166
18.138	83.762
18.282	84.166
18.500	82.953
18.717	82.549
18.898	82.549
19.079	82.549
19.224	82.549
19.333	81.740
19.514	81.335
19.767	81.335
19.912	81.335
20.093	80.931
20.274	79.717
20.492	79.717
20.673	79.717
20.781	79.717
20.890	79.717
21.071	80.122
21.252	79.313
21.433	78.504
21.651	78.504
21.868	78.504
22.049	77.291
22.230	77.291
22.375	77.695
22.520	77.695
22.701	77.291
22.882	77.291
23.099	77.291
23.353	75.673
23.570	75.673
23.787	75.673
23.896	75.673
24.005	75.673
24.258	75.673
24.548	74.460
24.838	74.460
25.127	74.460
25.345	74.055
25.598	73.246
25.816	73.246
25.997	73.246
26.142	73.246
26.359	72.842
26.649	72.842
26.902	72.033
27.119	71.628
27.373	71.628
27.626	71.628
27.844	71.628
27.989	71.628
28.170	70.819
28.387	70.415
28.604	70.011
28.930	70.011
29.220	70.011
29.474	69.606
29.727	69.202
29.944	69.202
