x	y
0.151	6.167
0.190	9.518
0.270	12.200
0.309	16.222
0.349	18.903
0.508	26.277
0.707	32.981
0.826	39.014
1.025	43.036
1.184	49.070
1.343	54.432
1.462	57.784
1.541	60.466
1.661	62.477
1.820	67.840
1.899	70.521
2.018	73.873
2.138	75.884
2.257	79.236
2.336	81.917
2.535	85.939
2.614	88.621
2.773	91.973
2.893	94.654
3.052	98.006
3.211	101.358
3.330	103.369
3.489	105.380
3.648	108.732
3.807	112.083
3.966	114.765
4.204	118.787
4.323	120.128
4.443	122.139
4.522	123.480
4.602	124.820
4.721	125.491
4.840	126.831
4.959	128.842
5.118	131.524
5.277	132.865
5.396	134.205
5.476	135.546
5.635	137.557
6.787	148.953
7.940	157.668
9.053	163.701
10.205	169.064
11.318	172.416
12.470	174.427
13.583	175.768
14.736	175.768
15.848	175.768
17.001	175.097
18.153	173.757
19.306	172.416
20.419	169.734
21.452	167.723
22.485	166.383
23.479	164.372
24.472	161.690
25.505	159.679
26.539	157.668
27.572	154.986
28.566	152.975
29.639	150.964
30.632	148.283
31.665	146.942
32.699	144.261
33.692	143.590
34.725	143.590
