x	y
0.027	0
0.276	0
0.338	17.623
0.650	35.605
0.961	47.268
1.211	55.530
1.522	65.250
1.833	71.082
2.145	74.970
2.456	78.858
2.706	84.690
3.017	90.035
3.328	94.409
3.640	96.839
3.951	101.213
4.574	105.101
5.509	103.157
6.381	99.269
7.315	93.437
8.249	88.577
9.122	84.690
9.994	82.260
10.928	77.400
11.800	73.998
12.672	71.568
13.607	69.138
14.541	66.708
15.413	64.278
16.347	62.820
17.282	60.876
18.154	58.932
19.026	57.960
19.960	56.502
20.832	55.530
21.767	54.558
22.639	53.100
23.573	52.614
24.508	51.156
25.442	50.670
26.314	50.184
27.248	49.212
28.120	48.240
29.055	47.754
