x	y
2.710	187.074
2.920	198.096
3.200	207.218
3.410	212.159
3.690	220.901
3.969	224.701
4.249	229.642
4.949	236.864
5.648	242.945
6.348	244.085
7.117	244.845
7.817	243.705
8.586	242.565
9.286	241.045
10.055	238.004
10.755	232.303
11.524	226.222
12.224	222.421
12.993	218.240
13.693	214.439
14.463	209.879
15.232	206.838
15.932	203.037
16.631	201.137
17.401	198.476
18.100	195.816
18.870	192.775
19.569	190.115
20.339	187.074
21.108	183.273
21.808	180.993
22.507	178.712
23.277	175.672
23.906	173.011
24.746	169.971
25.445	167.310
26.145	164.270
27.614	159.709
28.383	157.428
29.153	154.388
29.922	151.727
30.622	149.827
