x	y
0.657	1.183
0.816	12.477
1.333	112.508
1.452	107.667
1.531	104.441
1.611	102.289
1.810	96.374
1.969	92.609
2.048	90.458
2.247	87.231
2.446	82.391
2.485	81.853
2.644	79.164
2.843	75.937
3.280	71.097
3.400	70.021
3.678	67.332
3.757	66.795
3.996	64.643
4.194	62.492
4.473	60.341
4.592	60.341
4.910	58.190
5.228	56.576
5.506	54.425
5.705	53.887
5.904	52.812
6.063	52.274
6.182	51.736
6.381	50.660
6.619	50.660
6.897	49.047
7.175	47.971
7.295	47.434
7.493	46.896
7.652	46.358
7.891	45.820
8.050	45.820
8.129	45.282
8.408	44.207
8.567	44.207
8.845	43.669
8.964	43.131
9.123	42.593
9.322	42.056
9.520	41.518
9.759	40.980
9.878	40.980
10.037	40.442
10.196	40.442
10.355	39.904
10.554	39.904
10.753	39.904
10.832	39.367
11.150	38.829
11.508	37.753
11.627	37.753
11.985	37.215
12.104	37.215
12.342	36.678
12.422	36.140
12.819	36.140
13.137	35.602
13.455	34.526
13.575	34.526
13.773	34.526
14.131	33.989
14.409	33.989
14.687	33.989
14.846	33.451
14.886	33.451
15.085	33.451
15.204	33.451
15.482	32.913
15.562	32.913
15.880	32.375
15.959	32.375
16.158	31.837
16.317	31.837
16.397	31.837
16.635	31.837
16.834	31.300
16.913	31.300
16.953	30.762
17.072	30.762
17.152	30.762
17.192	30.762
17.351	30.762
17.390	30.762
17.470	30.762
17.748	30.762
17.907	30.762
18.026	30.224
18.265	30.224
18.503	30.224
18.821	29.686
18.861	29.686
19.099	29.686
