x	y
0.811	44.853
1.921	106.196
2.364	135.145
2.853	151.687
3.474	168.918
4.095	180.635
4.717	185.460
5.294	187.528
5.915	184.771
6.537	181.325
7.158	178.568
7.779	176.500
8.356	174.432
8.978	170.986
9.599	168.918
10.176	166.161
10.842	163.404
11.419	161.336
12.040	158.579
12.661	155.133
13.283	152.376
13.904	150.308
14.481	148.240
15.102	146.862
15.724	145.484
16.301	144.794
16.922	143.416
17.588	142.037
18.165	140.659
18.786	139.969
19.408	138.591
20.029	138.591
20.650	136.523
21.227	135.145
21.849	133.766
22.470	132.388
23.092	131.009
23.713	131.009
24.112	131.009
