x	y
0.388	12.355
0.935	23.908
1.225	29.043
1.482	32.252
1.772	35.141
2.029	38.029
2.319	40.597
2.576	41.880
2.866	43.485
3.124	44.448
3.413	45.090
3.671	45.732
3.960	46.694
4.250	47.015
4.508	47.657
4.765	47.978
5.055	49.262
5.344	49.904
5.634	49.583
5.892	49.262
6.181	49.262
6.407	49.583
6.664	50.546
6.986	52.150
7.211	52.792
7.501	53.434
7.790	53.755
8.048	54.076
8.305	54.076
8.595	54.076
8.853	53.755
9.142	54.076
9.432	55.039
9.689	54.718
9.979	55.039
10.204	55.680
10.494	56.001
10.816	56.322
11.041	56.322
11.331	56.643
11.621	56.643
11.878	56.322
12.136	57.285
12.425	57.606
12.715	57.285
12.972	57.606
13.230	58.248
