x	y
0.291	41.031
0.647	72.576
0.923	83.865
1.278	85.858
1.633	96.151
1.910	101.132
2.344	103.788
2.660	103.456
2.975	105.116
3.607	117.734
4.475	128.360
5.107	132.012
5.423	132.676
5.541	131.680
5.778	131.348
6.054	132.012
6.370	133.673
6.646	132.012
7.001	131.680
7.238	131.348
7.514	131.348
7.791	133.008
7.988	132.012
8.264	133.341
8.580	134.337
8.975	133.008
9.330	132.676
9.843	132.344
10.356	132.344
10.672	133.341
11.146	134.337
11.501	134.337
11.777	134.669
11.975	135.333
12.172	136.661
12.409	136.329
12.685	136.661
12.843	138.321
13.080	138.985
13.159	139.317
13.356	139.317
13.474	139.981
13.830	143.634
14.027	145.958
14.224	147.619
14.461	147.619
14.738	144.630
14.935	142.970
15.132	144.962
15.290	143.634
15.487	142.638
15.724	143.302
15.882	143.966
16.079	141.642
16.237	140.314
16.395	140.646
16.790	136.329
17.106	135.665
17.303	141.310
17.461	139.317
17.777	143.966
17.895	142.306
17.974	142.970
