x	y
4.101	312.828
5.270	317.120
6.354	320.799
7.523	323.252
8.691	325.705
9.776	326.318
10.944	326.931
12.029	328.158
13.197	325.092
14.366	326.318
15.451	321.413
16.619	318.347
17.704	315.281
18.872	314.668
20.040	315.281
21.125	310.988
22.294	308.536
23.462	309.149
24.547	307.922
25.715	309.149
26.800	309.762
27.968	312.828
29.136	313.441
30.221	315.894
31.390	312.828
32.475	307.922
33.643	304.856
34.811	303.017
35.896	296.885
37.064	296.272
38.149	293.819
39.317	293.206
40.486	290.753
41.571	290.140
42.739	287.687
43.907	285.848
44.992	285.848
46.160	283.395
47.329	282.782
48.414	283.395
49.582	288.300
50.667	292.593
51.835	293.819
53.003	303.017
54.088	294.432
55.257	289.527
56.341	295.045
57.176	299.951
