x	y
0.388	35.783
0.559	32.573
0.678	31.931
0.833	32.573
0.935	32.894
1.084	32.894
1.225	37.708
1.383	39.313
1.482	40.918
1.650	42.201
1.772	40.918
1.909	39.313
2.029	40.918
2.189	42.522
2.319	45.090
2.447	46.373
2.576	48.620
2.747	51.829
2.866	53.434
3.004	55.000
3.124	56.964
3.270	58.248
3.413	59.853
3.540	58.890
3.671	59.853
3.830	61.778
3.960	63.383
4.128	65.308
4.250	67.555
4.373	68.197
4.508	70.764
4.651	75.578
4.765	78.146
4.931	81.676
5.055	83.922
5.185	86.169
5.344	85.527
5.466	87.132
5.634	81.676
5.725	82.100
5.892	81.355
6.015	81.000
6.181	79.500
6.272	78.800
6.407	80.700
6.562	87.000
6.664	87.774
6.819	85.500
6.986	89.378
7.077	90.400
7.211	92.588
7.366	94.000
7.501	97.402
7.656	99.000
7.790	101.895
7.913	104.500
8.048	105.746
8.139	105.400
8.305	108.634
8.461	110.800
8.595	111.523
8.750	112.000
8.853	112.806
9.040	113.600
9.142	115.374
9.297	115.500
9.432	113.127
9.555	113.400
9.689	113.769
9.845	114.200
9.979	115.000
10.102	116.000
10.204	117.299
10.392	116.840
10.494	115.695
10.649	115.500
10.816	115.374
10.907	116.100
11.041	116.016
11.229	115.000
11.331	114.732
11.486	116.200
11.621	116.337
11.744	116.200
11.878	116.658
12.001	117.000
12.136	118.262
12.291	118.700
12.425	119.225
12.548	119.500
12.715	120.188
12.806	120.000
12.972	120.188
13.127	120.000
13.230	121.472
13.385	121.900
