x	y
0.356	35.783
0.935	32.894
1.192	37.708
1.482	40.918
1.772	40.918
1.997	40.918
2.319	45.090
2.544	48.299
2.834	53.434
3.124	57.285
3.381	59.532
3.671	60.173
3.993	63.383
4.282	67.555
4.475	70.443
4.733	77.825
5.055	83.281
5.344	85.848
5.666	81.676
5.924	81.355
6.213	79.429
6.407	80.392
6.632	87.774
6.986	89.378
7.211	92.588
7.501	97.402
7.758	101.895
8.016	105.746
8.273	108.634
8.595	111.523
8.853	112.806
9.142	115.374
9.432	113.127
9.657	113.769
9.947	115.053
10.172	117.299
10.526	115.695
10.848	115.374
11.041	116.016
11.331	114.732
11.621	116.337
11.878	116.658
12.136	118.262
12.425	119.225
12.715	120.188
12.940	120.188
13.230	121.472
