x	y
0.151	0
0.19	0
0.27	0
0.309	0
0.349	0
0.508	0
0.707	0
0.826	0
1.025	0
1.184	0
1.343	0
1.462	0
1.541	0
1.661	0
1.82	0
1.899	0
2.018	0
2.14	0
2.26	0
2.34	0
2.54	0
2.61	0
2.77	0
2.89	0
3.05	0
3.21	0
3.33	0
3.49	0
3.65	0
3.81	0
3.97	0
4.20	0
4.32	0
4.443	0
4.522	0
4.602	0
4.721	0
4.84	0
4.959	0
5.118	0
5.277	0
5.396	0
5.476	0
5.635	0
6.787	0
7.94	0
9.053	0
10.205	0
11.318	12.2
12.47	19.574
13.583	26.948
14.736	34.322
15.848	38.344
17.001	38.344
18.153	36.333
19.306	34.992
20.419	34.322
21.452	34.992
22.485	36.333
23.479	36.333
24.472	37.003
25.505	35.662
26.539	34.992
27.572	34.992
28.566	34.322
29.639	32.311
30.632	32.311
31.665	30.97
32.699	30.3
33.692	29.629
34.725	29.629
