x	y
0.263	0.000
0.847	0.000
1.848	0.000
2.432	0.000
2.933	0.000
3.767	0.000
4.101	0.000
4.519	0.100
4.852	0.100
5.270	0.000
5.770	0.100
6.188	0.100
6.354	0.000
6.688	0.100
7.356	0.100
7.523	0.000
7.857	0.000
8.357	0.000
8.691	0.000
9.108	0.000
9.442	0.100
9.776	0.000
10.277	0.000
10.610	4.393
10.944	7.459
11.361	9.912
11.695	11.751
12.113	14.817
12.363	17.270
12.780	19.109
13.197	19.109
13.448	19.109
13.948	19.109
14.366	19.109
14.783	19.109
15.033	18.496
15.451	17.883
15.701	17.883
16.285	18.496
16.619	19.109
16.953	19.109
17.286	19.109
17.704	19.109
18.038	19.109
18.455	20.336
18.872	22.175
19.206	22.175
19.540	22.175
20.040	22.789
20.291	22.175
20.791	20.949
21.209	20.949
21.459	20.336
21.793	21.562
22.294	22.789
22.627	22.175
22.961	23.402
23.462	25.241
23.796	25.855
24.213	27.081
24.547	29.534
24.797	30.760
25.214	33.826
25.715	35.666
25.965	36.892
26.383	38.118
26.800	38.732
27.217	39.958
27.718	41.184
28.052	41.184
28.469	41.184
28.970	41.184
29.136	41.797
29.387	41.797
29.804	41.797
30.221	41.797
30.639	41.797
30.972	41.797
31.306	41.797
31.557	41.184
32.057	41.184
32.558	42.411
32.808	42.411
33.309	41.797
33.643	42.411
33.810	41.797
34.310	42.411
34.811	43.024
35.228	42.411
35.479	42.411
35.896	43.024
36.230	42.411
36.731	42.411
37.064	43.024
37.398	42.411
37.732	43.024
38.233	43.024
38.483	43.024
38.817	43.024
39.317	43.024
39.818	43.024
40.152	43.637
40.486	43.637
41.070	44.250
41.320	44.250
41.571	44.250
41.904	43.637
42.238	43.637
42.739	44.250
43.573	44.250
43.657	44.250
43.824	44.250
43.991	44.250
44.325	44.250
44.992	43.637
45.242	43.637
45.743	43.637
46.160	44.250
46.327	44.863
46.494	44.863
47.329	44.863
47.746	45.477
48.080	45.477
48.414	46.090
48.914	46.703
49.165	47.316
49.582	47.316
49.999	47.316
50.333	46.703
50.667	47.316
51.084	46.703
51.501	46.090
51.835	47.316
52.252	47.316
52.670	47.316
52.920	46.703
53.254	47.316
53.466	46.916
54.088	46.703
54.506	46.090
54.756	46.090
55.257	46.090
55.674	46.090
56.091	45.477
56.425	46.090
56.759	45.477
57.009	44.863
57.176	45.477
