x	y
2.710	0.000
2.920	0.000
3.200	0.000
3.410	0.000
3.690	0.000
3.969	0.000
4.249	0.000
4.949	0.000
5.648	9.960
6.348	13.761
7.117	20.222
7.817	22.502
8.586	26.303
9.286	29.724
10.055	28.963
10.755	28.963
11.524	29.344
12.224	31.244
12.993	36.565
13.693	39.986
14.463	43.026
15.232	44.546
15.932	45.307
16.631	47.587
17.401	50.628
18.100	51.008
18.870	50.628
19.569	48.347
20.339	46.447
21.108	45.687
21.808	44.166
22.507	43.026
23.277	41.126
23.906	39.986
24.746	35.805
25.445	36.185
26.145	35.425
27.614	35.805
28.383	36.185
29.153	38.085
29.922	38.085
30.622	39.225
