x	y
0.388	0
0.935	1.764
1.225	6.899
1.482	5.936
1.772	6.578
2.029	8.183
2.319	10.750
2.576	12.034
2.866	11.071
3.124	11.071
3.413	8.503
3.671	8.503
3.960	10.108
4.250	13.317
4.508	16.206
4.765	17.169
5.055	13.638
5.344	13.959
5.634	12.355
5.892	12.034
6.181	13.959
6.407	12.676
6.664	11.392
6.986	17.169
7.211	20.057
7.501	21.983
7.790	23.587
8.048	24.229
8.305	24.229
8.595	23.587
8.853	23.908
9.142	26.155
9.432	26.476
9.689	27.438
9.979	30.006
10.204	30.327
10.494	30.648
10.816	33.215
11.041	34.820
11.331	37.387
11.621	38.992
11.878	40.276
12.136	42.201
12.425	44.769
12.715	45.732
12.972	46.694
13.230	47.657
