x	y
0.398	0.317
0.928	3.022
1.246	6.809
1.484	5.997
1.776	7.079
2.041	8.702
2.306	10.866
2.571	12.218
2.863	10.866
3.128	10.595
3.419	8.702
3.684	8.972
3.949	11.136
4.267	15.734
4.506	17.628
4.744	15.734
5.089	14.111
5.354	13.300
5.646	11.948
5.884	13.300
6.176	13.300
6.414	11.407
6.653	14.382
6.971	19.791
7.209	21.685
7.501	23.578
7.792	24.390
8.031	24.119
8.322	23.849
8.587	23.849
8.853	25.742
9.144	26.553
9.436	27.365
9.701	30.340
9.966	30.610
10.204	30.881
10.496	33.315
10.814	35.209
11.052	37.643
11.344	38.995
11.635	40.889
11.874	43.052
12.139	44.946
12.431	46.028
12.722	47.109
13.014	48.462
