x	y
0.038	0.05
0.104	1.333
0.171	5.667
0.237	11.625
0.304	17.584
0.370	23.001
0.436	27.877
0.569	33.294
0.702	41.419
0.769	47.920
0.901	56.045
1.034	62.546
1.167	69.588
1.366	72.838
1.765	78.333
3.558	104.500
5.352	124.600
7.211	132.900
8.938	129.400
10.798	128.200
12.592	124.800
14.385	120.600
16.245	114.600
17.972	110.900
19.765	107.300
21.625	104.000
23.352	100.800
25.145	98.000
27.005	93.900
28.798	91.000
30.525	88.000
32.385	86.500
34.179	85.000
35.972	85.000
37.765	84.000
39.559	83.000
41.418	82.000
43.212	81.400
