x	y
0.016	0.147
0.032	4.648
0.078	7.758
0.122	9.979
0.184	12.06
0.215	14.825
0.261	17.416
0.294	18.468
0.354	21.052
0.401	22.089
0.447	23.133
0.494	23.99
0.54	25.372
0.602	27.1
0.65	28.843
0.698	30.39
0.744	32.471
0.804	34.38
0.835	35.417
0.912	38.008
0.959	38.7
1.097	42.531
1.175	43.926
1.206	44.79
1.252	45.654
1.283	46.345
1.346	47.734
1.392	49.29
1.454	50.845
1.485	51.709
1.548	52.56
1.579	53.444
1.641	54.481
1.906	60.897
1.969	62.118
2.011	62.689
2.046	62.982
2.11	63.686
2.157	64.716
2.203	65.752
2.265	66.624
2.296	67.142
2.342	67.66
2.373	68.179
2.451	69.561
2.497	70.425
2.528	71.124
2.59	72.16
2.652	73.032
2.683	73.557
2.745	74.594
2.776	75.113
2.854	75.811
2.9	76.675
2.962	77.374
3.009	78.238
3.056	78.764
3.087	79.455
3.15	80.146
3.212	80.837
3.244	81.183
3.29	81.516
3.351	82.034
3.413	82.906
3.444	83.252
3.491	83.597
3.537	84.288
3.584	84.794
3.647	85.485
3.708	85.983
3.739	86.329
3.801	87.008
3.847	87.571
3.911	88.21
3.942	88.901
4.004	89.419
4.051	89.945
4.113	90.676
4.144	90.848
4.191	91.021
4.269	91.705
4.3	91.878
4.329	92.238
4.454	93.097
4.515	93.796
4.546	94.141
4.608	94.84
4.639	95.186
4.671	95.479
4.735	95.797
4.805	96.167
4.836	96.34
4.883	96.525
4.945	96.878
4.991	97.051
5.054	97.385
5.116	97.742
5.147	98.441
5.209	98.786
5.241	98.959
5.317	99.65
5.348	100.004
5.379	100.35
5.456	100.707
5.487	100.88
5.58	101.226
5.627	101.406
5.671	101.554
5.717	101.722
5.765	101.882
5.811	102.063
5.858	102.235
5.905	102.416
5.951	102.588
5.997	102.761
6.044	102.934
6.092	103.107
6.169	103.452
6.263	103.798
6.309	103.971
6.356	104.144
6.402	104.324
6.493	104.669
6.539	104.842
6.586	105.015
6.68	105.36
6.727	105.533
6.774	105.706
6.82	105.879
6.912	106.237
6.989	106.409
7.035	106.582
7.082	106.747
7.144	106.92
7.238	107.086
7.285	107.258
7.33	107.258
7.375	107.258
7.469	107.604
7.5	107.604
7.547	107.79
7.687	107.962
7.733	107.962
7.809	108.135
7.856	108.308
7.903	108.308
7.948	108.481
7.995	108.481
8.041	108.654
8.103	108.654
8.165	108.826
8.227	108.999
8.289	108.999
8.351	109.172
8.382	109.172
8.428	109.172
8.49	109.345
8.567	109.517
8.582	109.69
8.644	109.863
8.69	110.036
8.737	110.209
8.798	110.209
8.845	110.209
8.892	110.209
8.938	110.38
9.028	110.396
9.059	110.569
9.091	110.729
9.137	110.742
9.185	110.894
9.217	110.902
9.277	111.067
9.355	111.075
9.385	111.067
9.48	111.253
9.523	111.24
9.569	111.24
9.616	111.092
9.678	111.092
9.723	111.092
9.785	110.919
9.831	110.747
9.878	110.74
9.94	110.747
9.988	110.566
10.034	110.566
10.081	110.566
10.143	110.394
10.189	110.221
10.251	110.221
10.297	110.221
10.344	110.048
10.406	110.048
10.437	110.048
10.515	109.875
10.53	109.875
10.592	109.875
10.639	109.702
10.683	109.695
10.759	109.522
10.821	109.53
10.852	109.357
10.883	109.345
10.945	109.345
10.99	109.172
11.036	109.172
11.083	109.172
11.114	108.999
11.16	108.999
11.206	108.999
11.253	108.826
11.299	108.834
11.346	108.834
11.407	108.661
11.438	108.661
11.485	108.661
11.514	108.468
11.561	108.468
11.607	108.456
11.669	108.456
11.7	108.283
11.777	108.27
11.824	108.09
11.855	108.09
11.902	108.09
11.931	107.917
11.977	107.917
12.069	107.917
12.115	107.757
12.162	107.757
12.207	107.749
12.253	107.576
12.3	107.576
12.33	107.569
12.422	107.396
12.453	107.389
12.484	107.216
12.562	107.216
12.609	107.051
12.655	107.051
12.686	106.878
12.731	106.878
12.793	106.878
12.842	106.818
12.889	106.646
12.951	106.646
12.998	106.646
13.061	106.473
13.107	106.473
13.153	106.3
13.23	106.3
13.262	106.127
13.324	106.127
13.355	106.127
13.385	105.967
13.463	105.967
