x	y
0.570	29.259
0.730	26.820
0.860	24.380
0.990	26.006
1.030	26.820
1.260	30.343
1.360	30.343
1.520	33.053
1.660	36.305
1.790	36.441
1.920	35.763
2.050	36.034
2.180	37.931
2.330	38.745
2.460	41.726
2.600	42.945
2.720	44.436
2.820	47.688
3.000	49.450
3.120	50.805
3.260	53.380
3.400	54.057
3.520	54.870
3.640	53.922
3.800	55.683
3.900	56.496
4.050	58.123
4.150	59.342
4.310	60.562
4.410	61.917
4.560	64.627
4.700	68.964
4.800	72.487
4.910	74.790
5.050	76.823
5.200	79.127
5.300	78.856
5.450	79.398
5.590	76.552
5.700	75.197
5.830	73.164
6.000	73.164
6.130	71.267
6.200	69.912
6.350	72.080
6.500	78.720
6.630	80.888
6.750	80.075
6.850	82.650
7.050	86.444
7.160	88.477
7.250	91.187
7.390	92.813
7.500	94.846
7.620	97.014
7.800	99.318
7.900	100.267
8.000	99.453
8.150	103.925
8.300	104.738
8.410	104.467
8.540	105.280
8.700	106.500
8.850	107.042
8.920	107.855
9.100	107.855
9.302	105.823
9.421	105.823
9.553	107.042
9.685	108.668
9.818	110.836
9.950	111.921
10.082	111.378
10.228	110.159
10.347	109.888
10.479	109.075
10.612	110.836
10.744	110.972
10.876	110.159
11.009	109.617
11.154	111.107
11.286	110.836
11.432	110.836
11.564	111.378
11.670	111.650
11.816	112.734
11.935	113.411
12.080	113.276
12.213	113.818
12.345	113.818
12.477	113.411
12.610	113.140
12.755	113.005
12.888	113.953
13.007	114.495
