x	y
0.262	14.071
0.472	72.566
0.752	97.232
0.961	112.737
1.241	126.832
1.451	140.575
1.731	152.555
1.941	162.422
2.221	172.289
2.500	180.746
2.710	186.736
2.920	192.374
3.200	199.069
3.410	204.707
3.690	211.755
3.969	218.098
4.249	220.917
4.949	226.907
5.648	232.193
6.348	235.364
7.117	236.069
7.817	236.069
8.586	235.364
9.286	235.012
10.055	232.898
11.524	223.736
12.224	220.917
12.993	218.450
13.693	215.983
14.463	214.222
15.232	211.755
15.932	210.345
16.631	208.584
17.401	208.231
18.100	207.174
18.870	205.060
19.569	202.593
20.339	200.831
21.108	198.717
21.808	197.307
22.507	194.841
23.277	193.431
23.906	191.669
24.746	189.555
25.445	187.793
26.145	186.384
26.914	184.974
27.614	183.917
28.383	183.212
29.153	182.508
29.922	182.155
30.622	180.746
31.321	180.393
32.021	179.336
