x	y
0.388	19.415
0.678	27.438
0.935	33.536
1.225	39.955
1.482	43.806
1.772	48.299
2.029	51.187
2.319	55.680
2.576	58.569
2.866	61.136
3.124	63.383
3.413	64.667
3.671	65.950
3.960	68.197
4.250	70.764
4.508	72.369
4.765	74.295
5.055	75.578
5.344	77.183
5.634	77.825
5.892	78.467
6.181	80.071
6.407	80.713
6.664	81.676
6.986	84.564
7.211	86.811
7.501	88.416
7.790	90.341
8.048	91.304
8.305	92.588
8.595	93.229
8.853	93.871
9.142	95.155
9.432	96.760
9.689	97.723
9.979	99.969
10.204	100.932
10.494	102.216
10.816	103.820
11.041	105.425
11.331	106.709
11.621	107.992
11.878	109.597
12.136	111.202
12.425	113.448
12.715	114.411
12.972	115.374
13.230	116.658
