x	y
0.058	2.182
0.123	9.551
0.174	14.007
0.252	23.561
0.291	31.386
0.369	36.103
0.447	40.738
0.499	44.304
0.563	46.894
0.641	48.308
0.686	49.997
0.758	52.033
0.823	54.004
0.875	54.800
0.952	55.483
1.041	56.305
1.069	57.099
1.160	57.782
1.199	58.784
1.302	60.148
1.330	61.300
1.357	62.946
1.458	63.962
1.510	64.807
1.575	65.768
1.614	66.172
1.691	66.298
1.752	66.599
1.795	67.008
1.873	66.956
1.938	67.247
2.015	67.638
2.054	67.828
2.107	67.927
2.223	68.018
2.236	68.063
2.340	68.491
2.391	68.844
2.462	69.255
2.508	69.523
2.573	69.523
2.625	69.802
2.728	70.092
2.778	70.584
2.832	71.001
2.884	71.414
2.936	71.831
3.027	72.311
3.079	72.727
3.130	73.272
3.173	73.572
3.286	74.353
3.312	74.779
3.377	75.147
3.442	75.498
3.506	75.926
3.571	75.979
3.636	76.104
3.714	75.865
3.779	75.474
3.804	75.232
3.882	74.969
3.947	74.504
4.025	74.088
4.090	73.396
4.168	72.738
4.206	72.222
4.232	72.216
4.336	71.583
4.401	71.179
4.453	70.701
4.554	69.919
4.595	69.501
4.712	68.846
4.751	68.329
4.855	67.990
4.881	67.662
4.971	67.161
5.049	66.983
5.062	66.934
5.146	66.931
5.205	66.596
5.334	65.533
5.423	65.007
5.503	64.671
5.580	64.275
5.671	64.025
5.762	63.673
5.817	63.278
5.892	63.160
5.944	63.124
6.009	62.683
6.047	62.582
6.094	62.282
6.190	62.114
6.242	61.722
6.307	61.669
6.370	61.618
6.449	61.439
6.514	61.213
6.579	61.108
6.646	60.954
6.773	60.490
6.825	60.300
6.955	60.033
7.001	59.626
7.111	59.439
7.238	58.962
7.383	58.672
7.499	58.377
7.554	57.966
7.629	57.719
7.694	57.315
7.830	56.637
7.888	56.406
7.988	55.973
8.044	55.659
8.109	55.659
8.174	55.522
8.264	54.977
8.290	54.940
8.381	54.899
8.472	54.468
8.580	53.981
8.627	53.543
8.731	53.567
8.835	53.252
8.939	52.997
9.014	52.653
9.081	52.569
9.172	52.504
9.211	52.137
9.289	51.959
9.370	51.989
9.405	51.458
9.509	51.320
9.678	51.297
9.768	51.006
9.843	50.993
9.924	50.500
10.066	50.049
10.118	49.667
10.235	49.438
10.287	49.176
10.356	49.000
10.455	48.694
10.585	48.431
10.650	48.270
10.712	48.336
10.857	48.117
10.961	47.515
11.065	47.074
11.146	47.008
11.259	47.186
11.350	46.706
11.428	46.456
11.540	46.344
11.622	46.128
11.713	45.865
11.817	45.680
11.894	45.489
11.959	45.465
12.014	45.348
12.076	45.113
12.172	45.016
12.283	44.887
12.335	44.640
12.409	44.352
12.478	44.033
12.530	44.021
12.595	43.883
12.685	44.020
12.750	43.782
12.843	43.356
12.971	43.008
13.080	43.024
13.113	43.033
13.198	42.691
13.269	42.399
13.396	42.359
13.437	42.285
13.514	42.027
13.580	42.108
13.645	42.095
13.723	41.881
13.800	41.917
13.830	41.695
13.917	41.666
14.027	41.363
14.086	41.367
14.137	41.152
14.224	41.031
14.254	40.825
14.332	40.736
14.422	40.699
14.462	40.607
14.552	40.506
14.565	40.390
14.643	40.325
14.698	40.367
14.786	40.107
14.837	40.159
14.928	40.183
14.941	40.183
15.014	40.035
15.032	39.856
15.123	39.719
15.172	39.703
15.291	39.703
15.330	39.703
15.408	39.646
15.487	39.371
15.563	39.165
15.628	39.156
15.724	39.039
15.797	38.865
15.882	38.707
15.965	38.482
16.017	38.482
16.079	38.375
16.147	38.365
16.199	38.277
16.237	38.375
16.315	38.237
16.395	38.075
16.445	37.856
16.562	37.744
16.691	37.679
16.790	37.711
16.860	37.518
16.912	37.466
17.003	37.482
17.016	37.396
17.080	37.384
17.145	37.379
17.249	37.096
17.343	37.047
17.417	36.955
17.461	37.047
17.560	36.778
17.638	36.628
17.703	36.540
17.777	36.715
17.832	36.148
17.895	36.051
17.949	36.050
18.014	36.051
