x	y
0.223	0.000
0.490	0.000
0.624	0.000
0.758	0.000
0.891	0.000
1.025	0.000
1.159	0.000
1.292	0.000
1.426	0.000
1.560	0.000
1.693	0.000
1.961	0.000
2.094	0.000
2.228	0.000
2.495	0.000
2.763	0.000
2.896	0.000
3.164	0.000
3.297	0.000
3.431	0.000
3.698	0.000
3.832	0.000
3.966	0.000
5.971	0.000
8.110	17.785
10.115	28.012
12.254	39.026
14.259	42.960
16.264	37.453
18.403	33.519
20.408	38.240
22.546	46.894
24.552	49.254
26.690	44.534
28.562	42.173
30.701	40.600
32.706	40.600
34.844	42.960
36.849	46.107
38.988	48.467
40.860	49.254
42.998	49.254
45.004	49.254
47.142	47.681
49.147	44.534
51.286	42.960
53.158	42.960
55.296	43.747
57.435	46.107
59.440	48.467
61.579	49.254
63.584	49.000
