x	y
0.3   60.39
0.8   95.205
1.2   125.67
2.1   167.526
2.8   175.   
3.76   294.272
4.102   295.235
4.443   296.812
4.785   298.264
5.127   298.697
5.469   301.149
5.811   302.582
6.152   303.582
6.494   303.024
6.836   304.746
7.178   305.323
7.519   306.756
7.861   307.9
8.203   308.487
8.545   309.631
8.887   309.333
9.228   310.621
9.57   310.765
9.912   311.611
10.254   310.457
10.596   309.313
10.937   308.015
11.279   307.582
11.621   306.139
11.963   305.697
12.305   304.254
12.646   303.812
12.988   302.369
13.33   301.927
13.672   300.484
14.014   299.042
14.355   298.599
14.697   297.714
15.039   296.829
15.381   294.944
15.723   292.617
16.064   290.289
16.406   288.847
16.748   286.404
17.09   284.962
17.432   282.519
17.773   280.077
18.115   278.932
18.457   276.923
18.799   274.057
19.141   273.48
19.482   272.903
19.824   272.326
20.166   272.182
20.508   271.749
20.849   271.605
21.191   271.028
21.533   270.595
21.875   270.162
22.217   269.441
22.558   269.297
22.9   269.153
23.242   268.72
23.584   267.854
23.926   267.422
24.267   267.277
24.609   267.268
24.951   266.835
25.293   266.527
25.635   265.95
25.976   265.642
26.318   264.767
26.66   263.622
27.002   262.882
27.344   261.439
27.685   260.997
28.027   258.554
28.369   256.112
28.711   254.669
29.053   253.227
29.394   252.784
29.736   252.342
30.078   233.784
30.42   232.384
30.762   230.984
31.103   228.185
31.445   225.385
31.787   222.585
32.129   221.185
32.471   219.785
32.812   218.385
33.154   216.985
33.496   215.586
33.838   214.186
34.179   212.786
34.521   211.386
34.863   209.986
35.205   208.586
35.547   207.186
35.888   205.786
36.23   204.386
36.572   202.986
36.914   201.586
37.256   200.187
37.597   198.787
37.939   197.387
38.281   195.987
38.623   194.587
38.965   193.187
39.306   191.787
39.648   190.387
39.99   188.987
40.332   187.587
40.674   186.188
41.015   184.788
41.357   183.388
41.699   181.988
42.041   180.588
42.383   180.588
42.724   179.188
43.066   177.788
43.408   177.508
43.75   176.808
44.092   176.388
44.433   176.108
44.775   174.988
45.117   174.568
45.459   173.588
45.801   173.028
46.142   172.468
46.484   172.188
46.826   171.628
47.168   170.929
47.51   170.509
47.851   170.369
48.193   170.229
48.535   170.089
48.877   169.809
49.218   169.389
49.56   169.249
49.902   169.109
50.244   168.409
50.586   166.589
50.927   165.189
51.269   163.789
51.611   162.389

