x	y
4.101	297.498
4.519	305.470
4.852	307.922
5.270	309.149
5.603	310.988
6.021	312.828
6.354	314.668
6.772	316.507
7.189	317.120
7.523	318.347
7.940	320.799
8.274	321.413
8.691	322.026
9.025	322.639
9.442	322.639
9.776	322.639
10.193	323.252
10.527	323.252
10.944	323.252
11.278	323.252
11.695	323.865
12.029	323.252
12.446	322.639
12.780	321.413
13.197	320.186
13.615	320.186
13.948	320.799
14.366	321.413
14.783	320.799
15.117	318.960
15.451	317.120
15.868	316.507
16.285	315.894
16.619	313.441
16.953	312.215
17.370	310.988
17.704	310.375
18.121	309.149
18.455	308.536
18.872	307.309
19.289	306.083
19.623	304.856
20.040	304.857
20.374	303.630
20.791	301.177
21.125	301.177
21.542	299.951
21.960	299.951
22.294	300.564
22.711	301.177
23.045	300.564
23.462	301.177
23.796	300.564
24.213	299.951
24.547	299.951
24.964	299.951
25.298	299.338
25.715	299.951
26.049	299.951
26.466	300.564
26.800	300.564
27.217	300.564
27.634	300.564
27.968	300.564
28.385	299.338
28.719	299.951
29.136	297.498
29.470	295.659
29.888	297.498
30.221	296.272
30.639	296.885
30.972	293.819
31.390	290.140
31.807	290.140
32.141	285.848
32.475	286.461
32.892	284.621
33.309	285.234
33.643	285.234
34.060	286.461
34.394	288.914
34.811	285.234
35.145	284.621
35.562	284.008
35.896	282.168
36.313	283.395
36.731	284.008
37.064	282.168
37.482	282.782
37.815	282.782
38.233	280.942
38.566	280.942
38.984	282.168
39.317	281.555
39.735	281.555
40.069	281.555
40.486	279.716
40.820	279.102
41.237	279.102
41.571	278.489
41.988	279.102
42.405	276.650
42.739	276.037
43.156	276.037
43.490	275.423
43.824	273.584
44.241	272.971
44.658	274.197
44.992	273.584
45.409	273.584
45.743	273.584
46.160	272.971
46.578	271.744
46.911	271.744
47.329	271.131
47.663	271.131
48.080	271.131
48.414	272.357
48.831	272.971
49.165	274.197
49.582	275.423
49.916	277.876
50.333	280.942
50.667	279.716
51.084	279.716
51.418	280.329
51.835	282.782
52.252	282.782
52.586	284.008
52.920	282.782
53.337	284.621
53.754	285.848
54.088	284.008
54.506	283.395
54.923	282.168
55.257	279.102
55.674	277.263
56.008	277.876
56.341	284.008
56.759	287.687
57.176	288.914
