x	y
4.101	312.828
4.519	315.894
4.852	315.894
5.270	317.120
5.603	315.894
6.021	317.733
6.354	320.799
6.772	322.639
7.189	322.639
7.523	323.252
7.940	326.318
8.274	325.092
8.691	325.705
9.025	326.318
9.442	326.318
9.776	326.318
10.193	326.931
10.527	326.931
10.944	326.931
11.278	326.318
11.695	327.545
12.029	328.158
12.446	326.931
12.780	326.318
13.197	325.092
13.615	326.318
13.948	325.092
14.366	326.318
14.783	326.318
15.117	323.252
15.451	321.413
15.868	319.573
16.285	319.573
16.619	318.347
16.953	316.507
17.370	315.894
17.704	315.281
18.121	314.668
18.455	314.054
18.872	314.668
19.289	315.281
19.623	315.281
20.040	315.281
20.374	314.054
20.791	312.215
21.125	310.988
21.542	309.149
21.960	308.536
22.294	308.536
22.711	308.536
23.045	308.536
23.462	309.149
23.796	308.536
24.213	307.922
24.547	307.922
24.964	308.536
25.298	307.922
25.715	309.149
26.049	309.149
26.466	310.375
26.800	309.762
27.217	310.375
27.634	311.602
27.968	312.828
28.385	313.441
28.719	314.054
29.136	313.441
29.470	313.441
29.888	315.894
30.221	315.894
30.639	316.507
30.972	314.668
31.390	312.828
31.807	313.441
32.141	309.762
32.475	307.922
32.892	306.083
33.309	304.856
33.643	304.856
34.060	306.083
34.394	306.696
34.811	303.017
35.145	301.177
35.562	299.338
35.896	296.885
36.313	298.111
36.731	298.111
37.064	296.272
37.482	295.659
37.815	296.272
38.233	293.819
38.566	292.593
38.984	293.819
39.317	293.206
39.735	291.980
40.069	291.980
40.486	290.753
40.820	289.527
41.237	289.527
41.571	290.140
41.988	290.140
42.405	288.300
42.739	287.687
43.156	287.687
43.490	288.300
43.824	285.848
44.241	285.234
44.658	286.461
44.992	285.848
45.409	285.234
45.743	284.008
46.160	283.395
46.578	282.782
46.911	282.782
47.329	282.782
47.663	282.168
48.080	282.782
48.414	283.395
48.831	284.621
49.165	286.461
49.582	288.300
49.916	290.753
50.333	293.819
50.667	292.593
51.084	291.366
51.418	290.753
51.835	293.819
52.252	293.819
52.586	295.045
52.920	303.017
53.337	295.045
53.754	299.951
54.088	294.432
54.506	292.593
54.923	291.366
55.257	289.527
55.674	288.300
56.008	290.753
56.341	295.045
56.759	299.338
57.176	299.951
