x	y
0.263	0.000
0.847	0.000
1.848	0.000
2.432	0.000
2.933	0.000
3.767	0.000
4.101	0.000
4.519	0.100
4.852	0.100
5.270	0.000
5.603	0.100
6.021	0.100
6.354	0.000
6.772	0.100
7.189	0.100
7.523	0.000
7.940	0.000
8.274	0.000
8.691	0.000
9.025	0.000
9.442	0.100
9.776	0.000
10.193	0.000
10.527	4.393
10.944	7.459
11.278	9.912
11.695	11.751
12.029	14.817
12.446	17.270
12.780	19.109
13.197	19.109
13.615	19.109
13.948	19.109
14.366	19.109
14.783	19.109
15.117	18.496
15.451	17.883
15.868	17.883
16.285	18.496
16.619	19.109
16.953	19.109
17.370	19.109
17.704	19.109
18.121	19.109
18.455	20.336
18.872	22.175
19.289	22.175
19.623	22.175
20.040	22.789
20.374	22.175
20.791	20.949
21.125	20.949
21.542	20.336
21.960	21.562
22.294	22.789
22.711	22.175
23.045	23.402
23.462	25.241
23.796	25.855
24.213	27.081
24.547	29.534
24.964	30.760
25.298	33.826
25.715	35.666
26.049	36.892
26.466	38.118
26.800	38.732
27.217	39.958
27.634	41.184
27.968	41.184
28.385	41.184
28.719	41.184
29.136	41.797
29.470	41.797
29.888	41.797
30.221	41.797
30.639	41.797
30.972	41.797
31.390	41.797
31.807	41.184
32.141	41.184
32.475	42.411
32.892	42.411
33.309	41.797
33.643	42.411
34.060	41.797
34.394	42.411
34.811	43.024
35.145	42.411
35.562	42.411
35.896	43.024
36.313	42.411
36.731	42.411
37.064	43.024
37.482	42.411
37.815	43.024
38.233	43.024
38.566	43.024
38.984	43.024
39.317	43.024
39.735	43.024
40.069	43.637
40.486	43.637
40.820	44.250
41.237	44.250
41.571	44.250
41.988	43.637
42.405	43.637
42.739	44.250
43.156	44.250
43.490	44.250
43.824	44.250
44.241	44.250
44.658	44.250
44.992	43.637
45.409	43.637
45.743	43.637
46.160	44.250
46.578	44.863
46.911	44.863
47.329	44.863
47.663	45.477
48.080	45.477
48.414	46.090
48.831	46.703
49.165	47.316
49.582	47.316
49.916	47.316
50.333	46.703
50.667	47.316
51.084	46.703
51.418	46.090
51.835	47.316
52.252	47.316
52.586	47.316
52.920	46.703
53.337	47.316
53.754	46.916
54.088	46.703
54.506	46.090
54.923	46.090
55.257	46.090
55.674	46.090
56.008	45.477
56.341	46.090
56.759	45.477
57.176	45.477
