x	y
4.101	303.630
4.519	303.630
4.852	304.856
5.270	306.696
5.687	309.149
6.104	312.215
6.354	312.828
6.772	314.668
7.189	315.894
7.523	317.120
7.940	319.573
8.274	322.026
8.691	323.865
8.941	326.318
9.359	328.158
9.776	329.997
10.193	330.611
10.527	330.611
10.944	329.997
11.278	329.997
11.695	330.611
12.113	329.997
12.446	328.771
12.864	327.545
13.197	326.931
13.615	325.705
13.948	324.479
14.366	323.865
14.700	322.026
15.033	320.186
15.451	318.347
15.868	315.894
16.285	314.668
16.619	312.215
16.953	310.988
17.286	309.149
17.704	307.922
18.038	306.083
18.455	304.856
18.872	303.630
19.206	303.017
19.623	301.791
20.040	300.564
20.374	299.951
20.708	298.111
21.209	296.272
21.542	295.659
21.960	294.432
22.294	293.819
22.627	293.206
23.045	292.593
23.462	291.979
23.796	290.753
24.213	290.140
24.547	289.527
24.881	288.914
25.298	288.914
25.715	288.300
26.049	287.687
26.466	287.687
26.800	287.687
27.217	286.461
27.551	286.461
28.052	284.621
28.302	284.621
28.719	284.008
29.136	283.395
29.470	282.782
29.888	282.500
30.221	282.168
30.639	281.555
30.972	280.942
31.306	280.329
31.723	279.102
32.141	279.102
32.475	278.489
32.892	278.489
33.309	277.876
33.643	277.876
34.060	277.263
34.394	277.263
34.728	276.650
35.145	276.037
35.479	276.037
35.896	275.423
36.230	275.423
36.647	275.423
36.981	274.197
37.398	274.197
37.815	274.197
38.149	273.584
38.566	273.584
38.984	272.971
39.317	272.971
39.735	272.357
40.152	272.357
40.486	271.744
40.820	271.744
41.237	271.744
41.571	271.744
41.988	271.131
42.405	271.131
42.739	271.131
43.073	270.518
43.573	270.518
43.824	270.518
44.241	269.905
44.575	270.518
44.992	269.291
45.326	269.291
45.743	268.678
46.160	269.291
46.578	269.291
46.911	269.291
47.329	269.291
47.663	269.905
48.080	269.291
48.414	268.678
48.831	268.678
49.165	268.678
49.582	268.678
49.916	269.291
50.333	268.678
50.667	268.065
51.084	268.065
51.501	267.452
51.835	268.065
52.252	268.065
52.586	268.678
52.920	267.452
53.337	268.065
53.754	268.065
54.088	267.452
54.506	267.452
54.923	267.452
55.257	266.225
55.674	266.225
56.008	266.000
56.341	266.225
56.759	266.225
57.176	266.225
