x	y
3.457	192.005
3.800	200.926
4.131	207.232
4.475	211.716
4.754	213.605
5.115	214.501
5.377	213.771
5.784	213.958
6.068	214.799
6.399	216.060
6.729	216.060
7.013	214.799
7.391	212.697
7.674	211.436
8.052	208.073
8.335	205.130
8.666	201.347
8.997	199.245
9.328	200.926
9.658	200.926
9.989	200.926
10.320	202.608
10.603	204.289
10.981	207.232
11.264	206.812
11.595	205.550
11.926	204.289
12.257	204.289
12.587	203.028
12.918	202.608
13.249	202.187
13.532	201.347
13.910	200.926
14.241	200.506
14.524	200.506
14.855	200.086
15.186	200.086
15.516	200.506
15.847	200.506
16.178	200.086
16.508	200.086
16.839	200.086
17.170	199.665
17.453	198.825
17.784	197.563
18.115	195.882
18.445	194.621
18.776	193.360
19.107	192.099
19.437	191.678
19.721	190.417
20.099	190.417
20.382	190.417
20.760	189.576
21.044	188.315
21.374	188.736
21.705	188.736
22.036	189.156
22.366	189.997
22.697	190.838
23.028	190.838
23.311	190.838
23.689	190.417
23.973	190.417
24.303	190.417
24.634	190.417
24.965	189.997
25.295	189.997
25.626	189.576
25.957	187.895
26.288	187.475
26.618	187.475
26.902	187.054
27.232	186.634
27.563	184.952
27.894	185.373
28.224	185.373
28.555	185.793
28.886	186.634
29.217	187.475
29.547	187.475
29.831	188.736
30.161	186.214
30.492	187.054
30.823	188.315
31.154	186.634
31.484	180.328
