x	y
3.457	202.889
3.820	210.866
4.119	215.991
4.462	219.843
4.745	221.104
5.076	220.263
5.406	219.002
5.737	219.002
6.068	219.002
6.399	220.263
6.729	219.843
7.060	218.582
7.391	216.900
7.674	215.639
8.005	212.697
8.335	210.595
8.666	206.812
8.997	204.710
9.328	205.971
9.658	205.971
9.989	205.971
10.320	207.652
10.603	212.697
10.934	211.856
11.264	210.174
11.595	209.754
11.926	208.913
12.257	208.493
12.587	208.493
12.918	208.073
13.249	207.652
13.532	207.232
13.910	206.812
14.241	206.391
14.524	206.391
14.855	206.812
15.186	207.232
15.516	207.232
15.847	206.812
16.178	206.391
16.508	206.391
16.839	205.971
17.170	205.550
17.500	205.130
17.784	203.869
18.115	201.767
18.445	200.086
18.776	198.404
19.107	197.143
19.437	196.302
19.768	195.462
20.099	195.882
20.382	196.302
20.713	195.041
21.044	196.723
21.374	195.041
21.705	195.462
22.036	196.302
22.366	196.723
22.697	197.563
23.028	197.563
23.311	197.563
23.642	196.723
23.973	196.302
24.303	195.462
24.634	195.462
24.965	195.462
25.295	195.041
25.626	195.462
25.957	196.302
26.288	193.780
26.618	193.780
26.902	195.462
27.232	194.621
27.563	190.838
27.894	191.258
28.224	191.258
28.555	190.838
28.886	191.678
29.217	192.099
29.500	191.678
29.831	193.360
30.161	191.258
30.492	192.519
30.823	194.621
31.154	192.939
31.484	186.214
