x	y
0.068	0.000
0.210	0.000
0.446	0.000
0.635	0.000
0.871	0.000
0.966	0.000
1.013	0.000
1.155	0.000
1.296	0.000
1.769	0.000
1.816	0.000
2.288	0.000
2.572	0.000
2.572	0.000
2.619	0.000
2.666	0.000
2.714	0.000
2.903	0.000
2.950	0.000
3.044	0.000
3.139	0.000
3.233	0.000
3.457	0.000
3.800	0.000
4.131	5.456
4.475	11.341
4.745	13.443
5.115	15.965
5.377	16.806
5.784	18.067
6.068	20.168
6.399	25.633
6.729	28.155
7.013	28.996
7.391	29.417
7.674	29.417
8.052	29.837
8.335	28.576
8.666	27.315
8.997	26.474
9.328	24.792
9.658	23.952
9.989	21.850
10.320	21.009
10.603	20.168
10.981	22.691
11.264	23.531
11.595	24.372
11.926	24.372
12.257	24.792
12.587	25.213
12.918	26.054
13.249	26.894
13.532	28.155
13.910	28.576
14.241	29.837
14.524	30.678
14.855	32.779
15.186	34.461
15.516	36.142
15.847	37.404
16.178	39.085
16.508	39.926
16.839	40.346
17.170	40.766
17.453	41.187
17.784	40.766
18.115	40.346
18.445	39.926
18.776	40.346
19.107	40.346
19.437	40.346
19.721	40.346
20.099	40.766
20.382	41.187
20.760	41.607
21.044	42.448
21.374	42.868
21.705	43.289
22.036	43.709
22.366	43.709
22.697	43.709
23.028	44.129
23.311	44.129
23.689	43.709
23.973	44.129
24.303	44.550
24.634	43.709
24.965	44.129
25.295	43.709
25.626	43.709
25.957	42.868
26.288	42.868
26.618	43.289
26.902	42.448
27.232	42.448
27.563	42.028
27.894	42.028
28.224	42.028
28.555	42.028
28.886	41.187
29.217	40.766
29.547	40.766
29.831	40.346
30.161	40.346
30.492	40.346
30.823	39.926
31.154	39.085
31.484	39.505
