x	y
3.457	192.519
3.800	197.563
4.131	207.232
4.462	213.117
4.792	215.639
5.123	217.321
5.406	218.161
5.737	219.002
6.068	219.423
6.399	219.002
6.729	218.582
7.060	216.900
7.391	214.799
7.674	212.697
8.052	210.595
8.335	209.754
8.666	208.073
8.997	206.812
9.328	205.971
9.658	204.710
9.989	203.869
10.320	203.028
10.650	203.028
10.934	201.767
11.264	200.506
11.595	199.245
11.926	198.404
12.257	197.143
12.587	196.723
12.918	195.882
13.249	195.462
13.532	194.621
13.910	194.621
14.241	194.201
14.524	193.780
14.855	193.780
15.186	193.780
15.516	193.780
15.847	193.780
16.178	193.780
16.508	193.360
16.839	192.939
17.170	192.939
17.453	192.939
17.784	192.939
18.115	192.519
18.445	192.099
18.776	191.678
19.107	191.678
19.437	191.678
19.768	191.258
20.099	190.838
20.382	191.258
20.713	191.258
21.044	191.258
21.374	191.678
21.705	191.678
22.036	191.678
22.366	191.678
22.697	191.678
23.028	191.678
23.311	191.678
23.642	191.678
23.973	191.258
24.303	191.258
24.634	191.258
24.965	191.258
25.295	190.838
25.626	190.838
25.957	190.838
26.288	190.838
26.571	190.417
26.902	190.417
27.232	189.997
27.563	189.997
27.894	190.417
28.224	189.997
28.555	189.997
28.886	189.997
29.217	189.576
29.547	189.156
29.831	189.156
30.161	189.156
30.539	189.156
30.823	189.156
31.154	189.156
31.484	189.156
